publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	notes	DOI	ISSNs	eISSNs	ISBNs	eISBNs	access_start_date	access_end_date	access_status	field34
Journal of Research on Computing in Education	0888-6504		1997-03-01	29	3	2001-12-31	34	2	https://www.tandfonline.com/openurl?genre=journal&stitle=ujrt19		ujrt19		fulltext			serial									now: Journal of Research on Technology in Education (ISSN: 1539-1523; 2001- ); previously: AEDS Journal (1900-1986)		0888-6504						Current	
AIDS Care	0954-0121	1360-0451	1989-01-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=caic20		caic20		fulltext			serial											0954-0121	1360-0451					Current	
AIHA Journal	1542-8117		2002-01-01	63	1	2003-11-30	64	6	https://www.tandfonline.com/openurl?genre=journal&stitle=uaih20		uaih20		fulltext			serial									Volumes 2002 and 2003 are not available online. Merged with Applied Occupational and Environmental Hygiene 1990-2003 to form Journal of Occupational and Environmental Hygiene		1542-8117						Current	
AIHAJ - American Industrial Hygiene Association	1529-8663		2000-01-01	61	1	2001-11-30	62	6	https://www.tandfonline.com/openurl?genre=journal&stitle=uaah20		uaah20		fulltext			serial									Became AIHA Journal. Currently Journal of Occupational and Environmental Hygiene		1529-8663						Current	
AJOB Empirical Bioethics	2329-4515	2329-4523	2014-01-01	5	1				http://www.tandfonline.com/openurl?genre=journal&stitle=uabr21		uabr21		fulltext			serial									previously: AJOB Primary Research (ISSN: 2150-7716, 2010-2013)		2329-4515	2329-4523					Current	
AJOB Neuroscience	2150-7740	2150-7759	2010-02-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=uabn20		uabn20		fulltext			serial											2150-7740	2150-7759					Current	
AJOB Primary Research	2150-7716	2150-7724	2010-05-01	1	1	2013-10-31	4	4	http://www.tandfonline.com/openurl?genre=journal&stitle=uabr20		uabr20		fulltext			serial									now: AJOB Empirical Bioethics (ISSN: 2329-4515, 2014- )		2150-7716	2150-7724					Current	
ALT-J: Research in Learning Technology		1741-1629	1993-01-01	1	1	2010-12-31	18	3	http://www.tandfonline.com/openurl?genre=journal&stitle=zrlt19		zrlt19		fulltext			serial									Open Access. Now: Research in Learning Technology			1741-1629			2017-01-01		Current	
ANQ: A Quarterly Journal of Short Articles, Notes and Reviews	0895-769X	1940-3364	1988-01-01	1	1				https://www.tandfonline.com/openurl?genre=journal&stitle=vanq20		vanq20		fulltext			serial											0895-769X	1940-3364					Current	
ASEG Extended Abstracts	2202-0586		1999-12-01	1					https://www.tandfonline.com/openurl?genre=journal&stitle=texg19		texg19		fulltext			serial											2202-0586						Current	
