publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type
ACS Applied Materials & Interfaces	1944-8244	1944-8252							http://pubs.acs.org/page/aamick/about.html		aamick													
Analytical Chemistry	0003-2700	1520-6882							http://pubs.acs.org/doi/abs/10.1021/ac403899j		ac													
ACS Chemical Biology	1554-8929	1554-8937							http://pubs.acs.org/page/acbcct/about.html		acbcct													
ACS Catalysis		2155-5435							http://pubs.acs.org/page/accacs/about.html		accacs													
Accounts of Chemical Research	0001-4842	1520-4898							http://pubs.acs.org/page/achre4/about.html		achre4													
ACS Chemical Neuroscience									http://pubs.acs.org/page/acncdm/about.html		acncdm													
ACS Combinatorial Science	2156-8952	2156-8944							http://pubs.acs.org/page/acsccc/about.html		acsccc													
ACS Applied Materials & Interfaces	1944-8244	1944-8252							http://pubs.acs.org/doi/abs/10.1021/am4054546		am													
ACS Medicinal Chemistry Letters									http://pubs.acs.org/page/amclct/about.html		amclct													
ACS Macro Letters		2161-1653							http://pubs.acs.org/page/amlccd/about.html		amlccd													
ACS Nano	1936-0851	1936-086X							http://pubs.acs.org/page/ancac3/about.html		ancac3													
Analytical Chemistry	0003-2700	1520-6882							http://pubs.acs.org/page/ancham/about.html		ancham													
ACS Photonics		2330-4022							http://pubs.acs.org/page/apchd5/about.html		apchd5													
Accounts of Chemical Research	0001-4842	1520-4898							http://pubs.acs.org/doi/abs/10.1021/ar400222k		ar													
ACS Synthetic Biology		2161-5063							http://pubs.acs.org/page/asbcd6/about.html		asbcd6													
ACS Sustainable Chemistry & Engineering		2168-0485							http://pubs.acs.org/page/ascecg/about.html		ascecg													
Bioconjugate Chemistry	1043-1802	1520-4812							http://pubs.acs.org/doi/abs/10.1021/bc400439x		bc													
Bioconjugate Chemistry	1043-1802	1520-4812							http://pubs.acs.org/page/bcches/about.html		bcches													
Biochemistry	0006-2960	1520-4995							http://pubs.acs.org/doi/abs/10.1021/bi5000146		bi													
Biochemistry	0006-2960	1520-4995							http://pubs.acs.org/page/bichaw/about.html		bichaw													
Biotechnology Progress									http://pubs.acs.org/page/bipret/about.html		bipret													
Biomacromolecules	1525-7797	1526-4602							http://pubs.acs.org/doi/abs/10.1021/bm401720z		bm													
Biomacromolecules	1525-7797	1526-4602							http://pubs.acs.org/page/bomaf6/about.html		bomaf6													
ACS Chemical Biology	1554-8929	1554-8937							http://pubs.acs.org/doi/abs/10.1021/cb500072z		cb													
Chemical & Engineering News Archive									http://pubs.acs.org/page/cenear/about.html		cenear													
Crystal Growth & Design	1528-7483	1528-7505							http://pubs.acs.org/doi/abs/10.1021/cg500031t		cg													
Crystal Growth & Design	1528-7483	1528-7505							http://pubs.acs.org/page/cgdefu/about.html		cgdefu													
Chemical Reviews	0009-2665	1520-6890							http://pubs.acs.org/page/chreay/about.html		chreay													
Journal of Chemical Information and Modeling	1549-9596	1549-960X							http://pubs.acs.org/doi/abs/10.1021/ci400620f		ci													
Chemistry of Materials	0897-4756	1520-5002							http://pubs.acs.org/doi/abs/10.1021/cm403423e		cm													
Chemistry of Materials	0897-4756	1520-5002							http://pubs.acs.org/page/cmatex/about.html		cmatex													
ACS Chemical Neuroscience									http://pubs.acs.org/doi/abs/10.1021/cn500015s		cn													
ACS Combinatorial Science	2156-8952	2156-8944							http://pubs.acs.org/doi/abs/10.1021/co400136k		co													
Chemical Reviews	0009-2665	1520-6890							http://pubs.acs.org/doi/abs/10.1021/cr400442v		cr													
Chemical Research in Toxicology	0893-228X	1520-5010							http://pubs.acs.org/page/crtoec/about.html		crtoec													
ACS Catalysis		2155-5435							http://pubs.acs.org/doi/abs/10.1021/cs401081w		cs													
Journal of Chemical Theory and Computation	1549-9618	1549-9626							http://pubs.acs.org/doi/abs/10.1021/ct400908z		ct													
Journal of Chemical Education	0021-9584	1938-1328							http://pubs.acs.org/doi/abs/10.1021/ed400089j		ed													
Energy & Fuels	0887-0624	1520-5029							http://pubs.acs.org/doi/abs/10.1021/ef402508s		ef													
Energy & Fuels	0887-0624	1520-5029							http://pubs.acs.org/page/enfuem/about.html		enfuem													
Environmental Science & Technology	0013-936X	1520-5851							http://pubs.acs.org/doi/abs/10.1021/es404418a		es													
Environmental Science & Technology	0013-936X	1520-5851							http://pubs.acs.org/page/esthag/about.html		esthag													
Environmental Science & Technology Letters									http://pubs.acs.org/page/estlcu/about.html		estlcu													
Environmental Science & Technology Letters									http://pubs.acs.org/doi/abs/10.1021/ez500021w		ez													
Inorganic Chemistry	0020-1669	1520-510X							http://pubs.acs.org/doi/abs/10.1021/ic500225v		ic													
Industrial & Engineering Chemistry Research	0888-5885	1520-5045							http://pubs.acs.org/doi/abs/10.1021/ie403915j		ie													
Industrial & Engineering Chemistry Analytical Edition									http://pubs.acs.org/page/iecac0/about.html		iecac0													
Industrial & Engineering Chemistry Fundamentals									http://pubs.acs.org/page/iecfa7/about.html		iecfa7													
Industrial & Engineering Chemistry									http://pubs.acs.org/page/iechad/about.html		iechad													
Industrial & Engineering Chemistry Chemical & Engineering Data Series									http://pubs.acs.org/page/iecjc0/about.html		iecjc0													
Industrial and Engineering Chemistry, News Edition									http://pubs.acs.org/page/iecnav/about.html		iecnav													
Industrial & Engineering Chemistry Research	0888-5885	1520-5045							http://pubs.acs.org/page/iecred/about.html		iecred													
Industrial & Engineering Chemistry Process Design and Development									http://pubs.acs.org/page/iepdaw/about.html		iepdaw													
Industrial & Engineering Chemistry Product Research and Development									http://pubs.acs.org/page/iepra6/about.html		iepra6													
Inorganic Chemistry	0020-1669	1520-510X							http://pubs.acs.org/page/inocaj/about.html		inocaj													
Journal of the American Chemical Society	0002-7863	1520-5126							http://pubs.acs.org/doi/abs/10.1021/ja408780c		ja													
Journal of the American Chemical Society	0002-7863	1520-5126							http://pubs.acs.org/page/jacsat/about.html		jacsat													
Journal of Agricultural and Food Chemistry	0021-8561	1520-5118							http://pubs.acs.org/page/jafcau/about.html		jafcau													
Journal of Combinatorial Chemistry	1520-4766	1520-4774							http://pubs.acs.org/page/jcchff/about.html		jcchff													
Journal of Chemical & Engineering Data	0021-9568	1520-5134							http://pubs.acs.org/page/jceaax/about.html		jceaax													
Journal of Chemical Education	0021-9584	1938-1328							http://pubs.acs.org/page/jceda8/about.html		jceda8													
Journal of Chemical Documentation									http://pubs.acs.org/page/jci001/about.html		jci001													
Journal of Chemical Information and Computer Sciences									http://pubs.acs.org/page/jcics1/about.html		jcics1													
Journal of Chemical Information and Modeling	1549-9596	1549-960X							http://pubs.acs.org/page/jcisd8/about.html		jcisd8													
Journal of Chemical Theory and Computation	1549-9618	1549-9626							http://pubs.acs.org/page/jctcce/about.html		jctcce													
Journal of Chemical & Engineering Data	0021-9568	1520-5134							http://pubs.acs.org/doi/abs/10.1021/je400510j		je													
Journal of Agricultural and Food Chemistry	0021-8561	1520-5118							http://pubs.acs.org/doi/abs/10.1021/jf404766f		jf													
Journal of Medicinal Chemistry	0022-2623	1520-4804							http://pubs.acs.org/doi/abs/10.1021/jm401712t		jm													
Journal of Medicinal Chemistry	0022-2623	1520-4804							http://pubs.acs.org/page/jmcmar/about.html		jmcmar													
Journal of Natural Products	0163-3864	1520-6025							http://pubs.acs.org/page/jnprdf/about.html		jnprdf													
