publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type
ACS Applied Materials & Interfaces	1944-8244	1944-8252							http://pubs.acs.org/page/aamick/about.html		aamick													
Analytical Chemistry	0003-2700	1520-6882							http://pubs.acs.org/doi/abs/10.1021/ac402693k		ac													
ACS Chemical Biology	1554-8929	1554-8937							http://pubs.acs.org/page/acbcct/about.html		acbcct													
ACS Catalysis		2155-5435							http://pubs.acs.org/page/accacs/about.html		accacs													
Accounts of Chemical Research	0001-4842	1520-4898							http://pubs.acs.org/page/achre4/about.html		achre4													
ACS Combinatorial Science	2156-8952	2156-8944							http://pubs.acs.org/page/acsccc/about.html		acsccc													
ACS Applied Materials & Interfaces	1944-8244	1944-8252							http://pubs.acs.org/doi/abs/10.1021/am402604h		am													
ACS Macro Letters		2161-1653							http://pubs.acs.org/page/amlccd/about.html		amlccd													
ACS Nano	1936-0851	1936-086X							http://pubs.acs.org/page/ancac3/about.html		ancac3													
Analytical Chemistry	0003-2700	1520-6882							http://pubs.acs.org/page/ancham/about.html		ancham													
Accounts of Chemical Research	0001-4842	1520-4898							http://pubs.acs.org/doi/abs/10.1021/ar4000967		ar													
ACS Synthetic Biology		2161-5063							http://pubs.acs.org/page/asbcd6/about.html		asbcd6													
ACS Sustainable Chemistry & Engineering		2168-0485							http://pubs.acs.org/page/ascecg/about.html		ascecg													
Bioconjugate Chemistry	1043-1802	1520-4812							http://pubs.acs.org/doi/abs/10.1021/bc400053b		bc													
Bioconjugate Chemistry	1043-1802	1520-4812							http://pubs.acs.org/page/bcches/about.html		bcches													
Biochemistry	0006-2960	1520-4995							http://pubs.acs.org/doi/abs/10.1021/bi400700b		bi													
Biochemistry	0006-2960	1520-4995							http://pubs.acs.org/page/bichaw/about.html		bichaw													
Biomacromolecules	1525-7797	1526-4602							http://pubs.acs.org/doi/abs/10.1021/bm401087n		bm													
Biomacromolecules	1525-7797	1526-4602							http://pubs.acs.org/page/bomaf6/about.html		bomaf6													
ACS Chemical Biology	1554-8929	1554-8937							http://pubs.acs.org/doi/abs/10.1021/cb400067g		cb													
Crystal Growth & Design	1528-7483	1528-7505							http://pubs.acs.org/doi/abs/10.1021/cg401363p		cg													
Crystal Growth & Design	1528-7483	1528-7505							http://pubs.acs.org/page/cgdefu/about.html		cgdefu													
Chemical Reviews	0009-2665	1520-6890							http://pubs.acs.org/page/chreay/about.html		chreay													
Journal of Chemical Information and Modeling	1549-9596	1549-960X							http://pubs.acs.org/doi/abs/10.1021/ci400459w		ci													
Chemistry of Materials	0897-4756	1520-5002							http://pubs.acs.org/doi/abs/10.1021/cm4023437		cm													
Chemistry of Materials	0897-4756	1520-5002							http://pubs.acs.org/page/cmatex/about.html		cmatex													
ACS Combinatorial Science	2156-8952	2156-8944							http://pubs.acs.org/doi/abs/10.1021/co400017r		co													
Chemical Reviews	0009-2665	1520-6890							http://pubs.acs.org/doi/abs/10.1021/cr400307e		cr													
Chemical Research in Toxicology	0893-228X	1520-5010							http://pubs.acs.org/page/crtoec/about.html		crtoec													
ACS Catalysis		2155-5435							http://pubs.acs.org/doi/abs/10.1021/cs400468h		cs													
Journal of Chemical Theory and Computation	1549-9618	1549-9626							http://pubs.acs.org/doi/abs/10.1021/ct400366h		ct													
Journal of Chemical Education	0021-9584	1938-1328							http://pubs.acs.org/doi/abs/10.1021/ed300893u		ed													
Energy & Fuels	0887-0624	1520-5029							http://pubs.acs.org/doi/abs/10.1021/ef401410v		ef													
Energy & Fuels	0887-0624	1520-5029							http://pubs.acs.org/page/enfuem/about.html		enfuem													
Environmental Science & Technology	0013-936X	1520-5851							http://pubs.acs.org/doi/abs/10.1021/es304609e		es													
Environmental Science & Technology	0013-936X	1520-5851							http://pubs.acs.org/page/esthag/about.html		esthag													
Inorganic Chemistry	0020-1669	1520-510X							http://pubs.acs.org/doi/abs/10.1021/ic4011532		ic													
Industrial & Engineering Chemistry Research	0888-5885	1520-5045							http://pubs.acs.org/doi/abs/10.1021/ie401372q		ie													
Industrial & Engineering Chemistry Research	0888-5885	1520-5045							http://pubs.acs.org/page/iecred/about.html		iecred													
Inorganic Chemistry	0020-1669	1520-510X							http://pubs.acs.org/page/inocaj/about.html		inocaj													
Journal of the American Chemical Society	0002-7863	1520-5126							http://pubs.acs.org/doi/abs/10.1021/ja405239v		ja													
Journal of the American Chemical Society	0002-7863	1520-5126							http://pubs.acs.org/page/jacsat/about.html		jacsat													
Journal of Agricultural and Food Chemistry	0021-8561	1520-5118							http://pubs.acs.org/page/jafcau/about.html		jafcau													
Journal of Combinatorial Chemistry	1520-4766	1520-4774							http://pubs.acs.org/page/jcchff/about.html		jcchff													
Journal of Chemical & Engineering Data	0021-9568	1520-5134							http://pubs.acs.org/page/jceaax/about.html		jceaax													
Journal of Chemical Education	0021-9584	1938-1328							http://pubs.acs.org/page/jceda8/about.html		jceda8													
Journal of Chemical Information and Modeling	1549-9596	1549-960X							http://pubs.acs.org/page/jcisd8/about.html		jcisd8													
Journal of Chemical Theory and Computation	1549-9618	1549-9626							http://pubs.acs.org/page/jctcce/about.html		jctcce													
Journal of Chemical & Engineering Data	0021-9568	1520-5134							http://pubs.acs.org/doi/abs/10.1021/je400602s		je													
Journal of Agricultural and Food Chemistry	0021-8561	1520-5118							http://pubs.acs.org/doi/abs/10.1021/jf403387p		jf													
Journal of Medicinal Chemistry	0022-2623	1520-4804							http://pubs.acs.org/doi/abs/10.1021/jm400485e		jm													
Journal of Medicinal Chemistry	0022-2623	1520-4804							http://pubs.acs.org/page/jmcmar/about.html		jmcmar													
Journal of Natural Products	0163-3864	1520-6025							http://pubs.acs.org/page/jnprdf/about.html		jnprdf													
The Journal of Organic Chemistry	0022-3263	1520-6904							http://pubs.acs.org/doi/abs/10.1021/jo401510b		jo													
The Journal of Organic Chemistry	0022-3263	1520-6904							http://pubs.acs.org/page/joceah/about.html		joceah													
The Journal of Physical Chemistry A	1089-5639	1520-5215							http://pubs.acs.org/doi/abs/10.1021/jp401812k		jp													
The Journal of Physical Chemistry A	1089-5639	1520-5215							http://pubs.acs.org/page/jpcafh/about.html		jpcafh													
The Journal of Physical Chemistry B	1520-6106	1520-5207							http://pubs.acs.org/page/jpcbfk/about.html		jpcbfk													
The Journal of Physical Chemistry C	1932-7447	1932-7455							http://pubs.acs.org/page/jpccck/about.html		jpccck													
The Journal of Physical Chemistry Letters		1948-7185							http://pubs.acs.org/page/jpclcd/about.html		jpclcd													
Journal of Proteome Research	1535-3893	1535-3907							http://pubs.acs.org/page/jprobs/about.html		jprobs													
The Journal of Physical Chemistry Letters		1948-7185							http://pubs.acs.org/doi/abs/10.1021/jz401944q		jz													
Langmuir	0743-7463	1520-5827							http://pubs.acs.org/doi/abs/10.1021/la402481b		la													
Langmuir	0743-7463	1520-5827							http://pubs.acs.org/page/langd5/about.html		langd5													
Macromolecules	0024-9297	1520-5835							http://pubs.acs.org/doi/abs/10.1021/ma4011582		ma													
Macromolecules	0024-9297	1520-5835							http://pubs.acs.org/page/mamobx/about.html		mamobx													
Molecular Pharmaceutics	1543-8384	1543-8392							http://pubs.acs.org/doi/abs/10.1021/mp400441d		mp													
Molecular Pharmaceutics	1543-8384	1543-8392							http://pubs.acs.org/page/mpohbp/about.html		mpohbp													
ACS Macro Letters		2161-1653							http://pubs.acs.org/doi/abs/10.1021/mz400439a		mz													
Nano Letters	1530-6984	1530-6992							http://pubs.acs.org/page/nalefd/about.html		nalefd													
Nano Letters	1530-6984	1530-6992							http://pubs.acs.org/doi/abs/10.1021/nl4020342		nl													
ACS Nano	1936-0851	1936-086X							http://pubs.acs.org/doi/abs/10.1021/nn4045358		nn													
