'publication_title'	'print_identifier'	'online_identifier'	'date_first_issue_online'	'num_first_vol_online'	'num_first_issue_online'	'date_last_issue_online'	'num_last_vol_online'	'num_last_issue_online'	'title_url'	'first_author'	'title_id'	'embargo_info'	'coverage_depth'	'coverage_notes'	'notes'	'publisher_name'	'publication_type'	'date_monograph_published_print'	'date_monograph_published_online'	'monograph_volume'	'monograph_edition'	'first_editor'	'parent_publication_title_id'	'preceding_publication_title_id'	'access_type'
'Embedded Generation'	'9780852967744'	'9780863419805'	'2000'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/po/pbpo031e'	'Jenkins'	'pbpo031e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2000'	'2000'	''	''	''	''	''	'P'
'Energy Storage for Power Systems'	'9780863412646'	'9781849191685'	'1994'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/po/pben006e'	'Ter-Gazarian'	'pben006e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'1994'	'1994'	''	''	''	''	''	'P'
'Energy Storage for Power Systems'	'9781849192194'	'9781849192200'	'2011'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/po/pbpo063e'	'Ter-Gazarian'	'pbpo063e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2011'	'2011'	''	''	''	''	''	'P'
'Energy Systems for Electric and Hybrid Vehicles'	'9781785610080'	'9781785610097'	'2016'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/tr/pbtr002e'	''	'pbtr002e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2016'	'2016'	''	''	''	''	''	'P'
'Energy: Resources, technologies and the environment'	'9781849191524'	'9781849191531'	'2010'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/po/pbrn008e'	'Ngô'	'pbrn008e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2010'	'2010'	''	''	''	''	''	'P'
'Engineering Secure Internet of Things Systems'	'9781785610530'	'9781785610547'	'2016'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/se/pbse002e'	''	'pbse002e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2016'	'2016'	''	''	''	''	''	'P'
'Engineers' Handbook of Industrial Microwave Heating'	'9780852969168'	'9781849194372'	'1998'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/po/pbpo025e'	'Meredith'	'pbpo025e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'1998'	'1998'	''	''	''	''	''	'P'
'Essentials of Non-linear Control Theory'	'9780906048962'	'9781849194464'	'1983'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/ce/pbsp006e'	'Leigh'	'pbsp006e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'1983'	'1983'	''	''	''	''	''	'P'
'Evaluation of Intelligent Road Transport Systems: Methods and Results'	'9781785611728'	'9781785611735'	'2016'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/tr/pbtr007e'	''	'pbtr007e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2016'	'2016'	''	''	''	''	''	'P'
'Exhibiting Electricity'	'9780852968956'	'9781849194105'	'1997'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/ht/pbht021e'	'Beauchamp'	'pbht021e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'1997'	'1997'	''	''	''	''	''	'P'
'Fabrication of GaAs Devices'	'9780863413537'	'9781849190688'	'2005'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/cs/pbep006e'	'Baca'	'pbep006e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2005'	'2005'	''	''	''	''	''	'P'
'Ferrites at Microwave Frequencies'	'9780863410642'	'9781849193818'	'1987'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/ew/pbew023e'	'Fuller'	'pbew023e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'1987'	'1987'	''	''	''	''	''	'P'
'Filtering in the Time and Frequency Domains'	'9781884932175'	'9781613530719'	'2001'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/ew/sbew008e'	'Blinchikoff'	'sbew008e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2001'	'2001'	''	''	''	''	''	'P'
'Flexible AC Transmission Systems (FACTS)'	'9780852967713'	'9781849194419'	'1999'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/po/pbpo030e'	''	'pbpo030e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'1999'	'1999'	''	''	''	''	''	'P'
'Flexible Robot Manipulators: Modelling, simulation and control'	'9780863414480'	'9780863412035'	'2008'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/ce/pbce068e'	''	'pbce068e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2008'	'2008'	''	''	''	''	''	'P'
'Flight Control Systems: practical issues in design and implementation'	'9780852967669'	'9781849191623'	'2000'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/ce/pbce057e'	''	'pbce057e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2000'	'2000'	''	''	''	''	''	'P'
'Foliage Penetration Radar: Detection and characterisation of objects under trees'	'9781891121005'	'9781613531358'	'2011'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/ra/sbra007e'	'Davis'	'sbra007e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2011'	'2011'	''	''	''	''	''	'P'
'Foundations for Model-based Systems Engineering: From Patterns to Models'	'9781785610509'	'9781785610516'	'2016'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/pc/pbpc014e'	'Holt'	'pbpc014e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2016'	'2016'	''	''	''	''	''	'P'
'Foundations of Digital Signal Processing: theory, algorithms and hardware design'	'9780852964316'	'9781849190176'	'2004'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/cs/pbcs015e'	'Gaydecki'	'pbcs015e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2004'	'2004'	''	''	''	''	''	'P'
'Frequency-Domain Control Design for High-Performance Systems'	'9781849194815'	'9781849194822'	'2012'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/ce/pbce078e'	'O'Brien'	'pbce078e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2012'	'2012'	''	''	''	''	''	'P'
'Fundamentals of Electromagnetic Levitation: Engineering sustainability through efficiency'	'9781849196635'	'9781849196642'	'2012'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/cs/pbcs024e'	'Sangster'	'pbcs024e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2012'	'2012'	''	''	''	''	''	'P'
'Fundamentals of Ground Radar for Air Traffic Control Engineers and Technicians'	'9781891121753'	'9781613531365'	'2009'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/ra/sbra008e'	'Bouwman'	'sbra008e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2009'	'2009'	''	''	''	''	''	'P'
'Further Advances in Unmanned Marine Vehicles'	'9781849194792'	'9781849194808'	'2012'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/ce/pbce077e'	''	'pbce077e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2012'	'2012'	''	''	''	''	''	'P'
'Future Mobile Networks: 3G and beyond'	'9780852969830'	'9781849190299'	'2001'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/te/pbbt002e'	''	'pbbt002e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2001'	'2001'	''	''	''	''	''	'P'
'Genetic Algorithms in Engineering Systems'	'9780852969021'	'9781849193511'	'1997'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/ce/pbce055e'	''	'pbce055e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'1997'	'1997'	''	''	''	''	''	'P'
'Geometrical Theory of Diffraction'	'9780852968307'	'9781849193931'	'1994'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/ew/pbew037e'	'Borovikov'	'pbew037e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'1994'	'1994'	''	''	''	''	''	'P'
'Geometrical Theory of Diffraction for Electromagnetic Waves'	'9780863410628'	'9781849193726'	'1979'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/ew/pbew001e'	'James'	'pbew001e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'1979'	'1979'	''	''	''	''	''	'P'
'Ground Penetrating Radar'	'9780863413605'	'9780863419928'	'2004'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/ra/pbra015e'	''	'pbra015e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2004'	'2004'	''	''	''	''	''	'P'
'HF Filter Design and Computer Simulation'	'9781884932250'	'9781613530733'	'1994'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/ew/sbew010e'	'Rhea'	'sbew010e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'1994'	'1994'	''	''	''	''	''	'P'
'HF Radio Systems and Circuits'	'9781884932045'	'9781613530740'	'1998'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/ew/sbew011e'	''	'sbew011e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'1998'	'1998'	''	''	''	''	''	'P'
'Handbook of Antenna Design, Vol. 1'	'9780906048825'	'9781849193764'	'1982'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/ew/pbew015f'	''	'pbew015f'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'1982'	'1982'	''	''	''	''	''	'P'
'Handbook of Antenna Design, Vol. 2'	'9780906048870'	'9781849193771'	'1983'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/ew/pbew015g'	''	'pbew015g'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'1983'	'1983'	''	''	''	''	''	'P'
'Handbook of Microstrip Antennas, Volume 1'	'9780863417597'	'9781849193856'	'1989'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/ew/pbew028f'	''	'pbew028f'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'1989'	'1989'	''	''	''	''	''	'P'
'Handbook of Microstrip Antennas, Volume 2'	'9780863417559'	'9781849193863'	'1989'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/ew/pbew028g'	''	'pbew028g'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'1989'	'1989'	''	''	''	''	''	'P'
'Handbook of Vehicle Suspension Control Systems'	'9781849196338'	'9781849196345'	'2013'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/ce/pbce092e'	''	'pbce092e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2013'	'2013'	''	''	''	''	''	'P'
'Heat Management in Integrated Circuits: On-chip and system-level monitoring and cooling'	'9781849199346'	'9781849199353'	'2015'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/cs/pbcs028e'	'Ogrenci-Memik'	'pbcs028e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2015'	'2015'	''	''	''	''	''	'P'
'High Speed Data Converters'	'9781849199384'	'9781849199391'	'2016'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/cs/pbcs026e'	'Ali'	'pbcs026e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2016'	'2016'	''	''	''	''	''	'P'
'High Voltage Direct Current Transmission'	'9780852969410'	'9781849194402'	'1998'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/po/pbpo029e'	'Arrillaga'	'pbpo029e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'1998'	'1998'	''	''	''	''	''	'P'
'High Voltage Engineering Testing'	'9781849192637'	'9781849192644'	'2013'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/po/pbpo066e'	''	'pbpo066e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2013'	'2013'	''	''	''	''	''	'P'
'High Voltage Engineering and Testing'	'9780852967751'	'9781849191739'	'2001'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/po/pbpo032e'	''	'pbpo032e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2001'	'2001'	''	''	''	''	''	'P'
'High-frequency Circuit Engineering'	'9780852968017'	'9781849193603'	'1996'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/cs/pbcs006e'	'Nibler'	'pbcs006e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'1996'	'1996'	''	''	''	''	''	'P'
'Higher-order Techniques in Computational Electromagnetics'	'9781613530160'	'9781613530375'	'2015'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/ew/sbew507e'	'Graglia'	'sbew507e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2015'	'2015'	''	''	''	''	''	'P'
'History of International Broadcasting, Volume 1'	'9780863413025'	'9781849194099'	'1994'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/ht/pbht019e'	'Wood'	'pbht019e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'1994'	'1994'	''	''	''	''	''	'P'
'History of International Broadcasting, Volume 2'	'9780852969205'	'9781849194129'	'2000'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/ht/pbht023e'	'Wood'	'pbht023e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2000'	'2000'	''	''	''	''	''	'P'
'History of Telegraphy'	'9780852967928'	'9781849190428'	'2001'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/ht/pbht026e'	'Beauchamp'	'pbht026e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2001'	'2001'	''	''	''	''	''	'P'
'How to Build Successful Business Relationships'	'9780863419560'	'9781849190992'	'2009'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/mt/pbmt027e'	'Kay'	'pbmt027e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2009'	'2009'	''	''	''	''	''	'P'
'How to Communicate in Business'	'9780852968789'	'9781849194204'	'1995'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/mt/pbmt017e'	'Silk'	'pbmt017e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'1995'	'1995'	''	''	''	''	''	'P'
'Human Factors for Engineers'	'9780863413292'	'9781849190800'	'2004'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/ce/pbns032e'	''	'pbns032e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2004'	'2004'	''	''	''	''	''	'P'
'Hydrogen Production, Separation and Purification for Energy'	'9781785611001'	'9781785611018'	'2017'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/po/pbpo089e'	''	'pbpo089e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2017'	'2017'	''	''	''	''	''	'P'
'ISDN Applications in Education and Training'	'9780852968604'	'9781849194679'	'1994'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/te/pbte905e'	''	'pbte905e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'1994'	'1994'	''	''	''	''	''	'P'
'Implementation of Self-tuning Controllers'	'9780863411274'	'9781849193382'	'1988'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/ce/pbce035e'	''	'pbce035e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'1988'	'1988'	''	''	''	''	''	'P'
'Industrial Digital Control Systems'	'9780863411373'	'9781849193399'	'1988'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/ce/pbce037e'	''	'pbce037e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'1988'	'1988'	''	''	''	''	''	'P'
'Industrial Microwave Heating'	'9780906048894'	'9781849194242'	'1988'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/po/pbpo004e'	'Metaxas'	'pbpo004e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'1988'	'1988'	''	''	''	''	''	'P'
'Industrial Software Technology'	'9780863410840'	'9781849193542'	'1987'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/pc/pbcm010e'	''	'pbcm010e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'1987'	'1987'	''	''	''	''	''	'P'
'Infrastructure Risk and Resilience: Transportation'	'9781849196963'	'9781849198622'	'2013'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/se/perirr3e'	''	'perirr3e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2013'	'2013'	''	''	''	''	''	'P'
'Innovation and the Communications Revolution'	'9780852962183'	'9781849190794'	'2002'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/ht/pbns030e'	'Bray'	'pbns030e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2002'	'2002'	''	''	''	''	''	'P'
'Insulators for High Voltages'	'9780863411168'	'9781849194259'	'1988'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/po/pbpo007e'	'Looms'	'pbpo007e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'1988'	'1988'	''	''	''	''	''	'P'
'Integral Equation Methods for Electromagnetics'	'9781891121937'	'9781613531129'	'2012'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/ew/sbew045e'	'Volakis'	'sbew045e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2012'	'2012'	''	''	''	''	''	'P'
'Intellectual Property Rights for Engineers'	'9780863414909'	'9781849190459'	'2005'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/mt/pbmt022e'	'Irish'	'pbmt022e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2005'	'2005'	''	''	''	''	''	'P'
'Intelligent Control Systems using Computational Intelligence Techniques'	'9780863414893'	'9781849190527'	'2005'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/ce/pbce070e'	''	'pbce070e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2005'	'2005'	''	''	''	''	''	'P'
'Intelligent Distributed Video Surveillance Systems'	'9780863415043'	'9781849190466'	'2006'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/pc/pbpc005e'	''	'pbpc005e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2006'	'2006'	''	''	''	''	''	'P'
'Intelligent Networks: Principles and Applications'	'9780852969779'	'9781849190282'	'2002'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/te/pbte046e'	'Anderson'	'pbte046e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2002'	'2002'	''	''	''	''	''	'P'
'Internet and Wireless Security'	'9780852961971'	'9780863410147'	'2002'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/te/pbbt004e'	''	'pbbt004e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2002'	'2002'	''	''	''	''	''	'P'
'Introduction to Adaptive Arrays'	'9781891121579'	'9781613531136'	'2011'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/ew/sbew046e'	'Monzingo'	'sbew046e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2011'	'2011'	''	''	''	''	''	'P'
'Introduction to Airborne Radar'	'9781891121012'	'9781613531372'	'1998'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/ra/sbra101e'	'Stimson'	'sbra101e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'1998'	'1998'	''	''	''	''	''	'P'
'Introduction to Biomechatronics'	'9781891121272'	'9781613530504'	'2012'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/cs/sbcs003e'	'Brooker'	'sbcs003e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2012'	'2012'	''	''	''	''	''	'P'
'Introduction to Broadband Communication Systems'	'9781420061499'	'9781613531839'	'2008'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/te/sbte501e'	'Akujuobi'	'sbte501e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2008'	'2008'	''	''	''	''	''	'P'
'Introduction to Electronic Warfare Modeling and Simulation'	'9781891121623'	'9781613531402'	'2006'	''	''	''	''	''	'http://digital-library.theiet.org/content/books/ra/sbra011e'	'Adamy'	'sbra011e'	''	'fulltext'	''	''	'Institution of Engineering and Technology'	'monograph'	'2006'	'2006'	''	''	''	''	''	'P'
