publication_title	print_identifier	online_identifier	publisher_name	title_url	date_monograph_published_online	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publication_type	date_monograph_published_print	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type
Actualités en analyse transactionnelle	1377-8935	2272-060X	Institut français d'analyse transactionnelle	http://www.cairn.info/revue-actualites-en-analyse-transactionnelle.htm			125			156			AATC											
Annales de Bretagne et des pays de l’Ouest	0399-0826	2108-6443	Presses universitaires de Rennes	http://www.cairn.info/revue-annales-de-bretagne-et-des-pays-de-l-ouest.htm			1			3			ABPO											
A contrario	1660-7880	1662-8667	BSN Press	http://www.cairn.info/revue-a-contrario.htm			1			22			ACO											
Approche Centrée sur la Personne. Pratique et recherche	1774-5314	1961-8670	ACP-PR	http://www.cairn.info/revue-approche-centree-sur-la-personne.htm			1			22			ACP											
Annales de démographie historique	0066-2062	1776-2774	Belin	http://www.cairn.info/revue-annales-de-demographie-historique.htm			101			131			ADH											
Adolescence	0751-7696	1969-6736	GREUPP	http://www.cairn.info/revue-adolescence.htm			49			3			ADO											
L'Année épigraphique	0066-2348	2492-0509	Presses Universitaires de France	http://www.cairn.info/revue-annee-epigraphique.htm			2007			2012			AEP											
Afrique contemporaine	0002-0478	1782-138X	De Boeck Supérieur	http://www.cairn.info/revue-afrique-contemporaine.htm			205			256			AFCO											
Africultures	1276-2458	2271-1732	Africultures	http://www.cairn.info/revue-africultures.htm			54			105			AFCUL											
Afrique et histoire	1764-1977	1776-2766	Verdier	http://www.cairn.info/revue-afrique-et-histoire.htm			1			7			AFHI											
Analyse Freudienne Presse	1253-1472	1969-6744	ERES	http://www.cairn.info/revue-analyse-freudienne-presse.htm			3			23			AFP											
Annales de géographie	0003-4010	1777-5884	Armand Colin	http://www.cairn.info/revue-annales-de-geographie.htm			641			711			AG											
Agone	1157-6790	1953-7999	Agone	http://www.cairn.info/revue-agone.htm			50			60			AGONE											
Agora débats/jeunesses	1268-5666	1968-3758	Presses de Sciences Po (P.F.N.S.P.)	http://www.cairn.info/revue-agora-debats-jeunesses.htm			43						AGORA											
Archives d'histoire doctrinale et littéraire du Moyen Âge	0373-5478	2109-9529	Vrin	http://www.cairn.info/revue-archives-d-histoire-doctrinale-et-litteraire-du-moyen-age.htm			68			82			AHDLM											
Annales historiques de l’électricité	1762-3227	2272-8023	Victoires éditions	http://www.cairn.info/revue-annales-historiques-de-l-electricite.htm			1			12			AHE											
Annales historiques de la Révolution française	0003-4436	1952-403X	Armand Colin	http://www.cairn.info/revue-annales-historiques-de-la-revolution-francaise.htm			371			385			AHRF											
Archives Juives	0003-9837	1965-0531	Les Belles lettres	http://www.cairn.info/revue-archives-juives.htm			34			48			AJ											
Actuel Marx	0994-4524	1969-6728	Presses Universitaires de France	http://www.cairn.info/revue-actuel-marx.htm			31			60			AMX											
Annales. Histoire, Sciences Sociales	0395-2649	1953-8146	Éditions de l'EHESS	http://www.cairn.info/revue-annales.htm									ANNA											
Annales de Normandie	0003-4134	2261-4427	Association Les Annales de Normandie	http://www.cairn.info/revue-annales-de-normandie.htm									ANNOR											
L'Année sociologique	0066-2399	1969-6760	Presses Universitaires de France	http://www.cairn.info/revue-l-annee-sociologique.htm			51			66			ANSO											
Archives de politique criminelle	0242-5637	2105-2670	Editions A. Pédone	http://www.cairn.info/revue-archives-de-politique-criminelle.htm			23			38			APC											
Annuel de l'APF	1964-5007	2426-5489	Presses Universitaires de France	http://www.cairn.info/revue-annuel-de-l-apf.htm			2007			2016			APF											
Archives de Philosophie	0003-9632	1769-681X	Centre Sèvres	http://www.cairn.info/revue-archives-de-philosophie.htm			64			79			APHI											
Revue archéologique	0035-0737	2104-3868	Presses Universitaires de France	http://www.cairn.info/revue-archeologique.htm			31			62			ARCH											
ArchéoSciences	1960-1360	2104-3728	Presses universitaires de Rennes	http://www.cairn.info/revue-archeosciences.htm			37			39			ARSC											
Actes de la recherche en sciences sociales	0335-5322	1955-2564	Le Seuil	http://www.cairn.info/revue-actes-de-la-recherche-en-sciences-sociales.htm			137			214			ARSS											
Archives de sciences sociales des religions	0335-5985	1777-5825	Éditions de l'EHESS	http://www.cairn.info/revue-archives-de-sciences-sociales-des-religions.htm			161			173			ASSR											
Revue d'assyriologie et d'archéologie orientale	0373-6032	2104-3817	Presses Universitaires de France	http://www.cairn.info/revue-d-assyriologie.htm			93			109			ASSY											
Autrepart	1278-3986	2109-9561	Presses de Sciences Po (P.F.N.S.P.)	http://www.cairn.info/revue-autrepart.htm			17			73			AUTR											
Études Balkaniques-Cahiers Pierre Belon	1260-2116	2102-5525	Association Pierre Belon	http://www.cairn.info/revue-etudes-balkaniques-cahiers-pierre-belon.htm			15			20			BALKA											
L'Année balzacienne 	0084-6473	1969-6752	Presses Universitaires de France	http://www.cairn.info/revue-l-annee-balzacienne.htm			1			17			BALZ											
Bulletin d’études orientales	0253-1623	2077-4079	Presses de l’Ifpo	http://www.cairn.info/revue-bulletin-d-etudes-orientales.htm									BEO											
Bulletin de l'Institut Pierre Renouvin	1276-8944	1775-4305	UMR Sirice	http://www.cairn.info/revue-bulletin-de-l-institut-pierre-renouvin.htm			25			44			BIPR1											
Cahiers Bruxellois ? Brusselse Cahiers	1784-5157	2466-8443	Archives de la Ville de Bruxelles	http://www.cairn.info/revue-cahiers-bruxellois.htm									BRUX											
Bulletin de psychologie	0007-4403	1968-3766	Groupe d'études de psychologie	http://www.cairn.info/revue-bulletin-de-psychologie.htm			475			545			BUPSY											
