publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name
A contrario	1660-7880	1662-8667							http://www.cairn.info/revue-a-contrario.htm		revue-a-contrario				
Actes de la recherche en sciences sociales	0335-5322	1955-2564							http://www.cairn.info/revue-actes-de-la-recherche-en-sciences-sociales.htm		revue-actes-de-la-recherche-en-sciences-sociales				
Actuel Marx	0994-4524	1969-6728							http://www.cairn.info/revue-actuel-marx.htm		revue-actuel-marx				
Adolescence	0751-7696	1969-6736							http://www.cairn.info/revue-adolescence.htm		revue-adolescence				
Afrique & histoire	1764-1977	1776-2766							http://www.cairn.info/revue-afrique-et-histoire.htm		revue-afrique-et-histoire				
Afrique contemporaine	0002-0478	1782-138X							http://www.cairn.info/revue-afrique-contemporaine.htm		revue-afrique-contemporaine				
Agora débats/jeunesses	1268-5666	1968-3758							http://www.cairn.info/revue-agora-debats-jeunesses.htm		revue-agora-debats-jeunesses				
@GRH	2034-9130								http://www.cairn.info/revue-@grh.htm		revue-@grh				
Analyse Freudienne Presse	1253-1472	1969-6744							http://www.cairn.info/revue-analyse-freudienne-presse.htm		revue-analyse-freudienne-presse				
Annales de Bretagne et des pays de l’Ouest	0399-0826	2108-6443							http://www.cairn.info/revue-annales-de-bretagne-et-des-pays-de-l-ouest.htm		revue-annales-de-bretagne-et-des-pays-de-l-ouest				
Annales de démographie historique	0066-2062	1776-2774							http://www.cairn.info/revue-annales-de-demographie-historique.htm		revue-annales-de-demographie-historique				
Annales de géographie	0003-4010	1777-5884							http://www.cairn.info/revue-annales-de-geographie.htm		revue-annales-de-geographie				
Annales. Histoire, Sciences Sociales	0395-2649	1953-8146							http://www.cairn.info/revue-annales.htm		revue-annales				
Annales. Histoire, Sciences Sociales (English)	2268-3763								http://www.cairn.info/revue-annales-english.htm		revue-annales-english				
Annales historiques de la Révolution française	0003-4436	1952-403X							http://www.cairn.info/revue-annales-historiques-de-la-revolution-francaise.htm		revue-annales-historiques-de-la-revolution-francaise				
L'Année balzacienne 	0084-6473	1969-6752							http://www.cairn.info/revue-l-annee-balzacienne.htm		revue-l-annee-balzacienne				
L'Année sociologique	0066-2399	1969-6760							http://www.cairn.info/revue-l-annee-sociologique.htm		revue-l-annee-sociologique				
Approche Centrée sur la Personne. Pratique et recherche	1774-5314	1961-8670							http://www.cairn.info/revue-approche-centree-sur-la-personne.htm		revue-approche-centree-sur-la-personne				
ArchéoSciences	1960-1360	2104-3728							http://www.cairn.info/revue-archeosciences.htm		revue-archeosciences				
Archives d'histoire doctrinale et littéraire du Moyen Âge	0373-5478	2109-9529							http://www.cairn.info/revue-archives-d-histoire-doctrinale-et-litteraire-du-moyen-age.htm		revue-archives-d-histoire-doctrinale-et-litteraire-du-moyen-age				
Archives de Philosophie	0003-9632	1769-681X							http://www.cairn.info/revue-archives-de-philosophie.htm		revue-archives-de-philosophie				
Archives de politique criminelle	0242-5637	2105-2670							http://www.cairn.info/revue-archives-de-politique-criminelle.htm		revue-archives-de-politique-criminelle				
Archives de sciences sociales des religions	0335-5985	1777-5825							http://www.cairn.info/revue-archives-de-sciences-sociales-des-religions.htm		revue-archives-de-sciences-sociales-des-religions				
Archives Juives	0003-9837	1965-0531							http://www.cairn.info/revue-archives-juives.htm		revue-archives-juives				
Autrepart	1278-3986	2109-9561							http://www.cairn.info/revue-autrepart.htm		revue-autrepart				
Bulletin d’études orientales	0253-1623	2077-4079							http://www.cairn.info/revue-bulletin-d-etudes-orientales.htm		revue-bulletin-d-etudes-orientales				
Bulletin de l'Institut Pierre Renouvin	1276-8944	1775-4305							http://www.cairn.info/revue-bulletin-de-l-institut-pierre-renouvin.htm		revue-bulletin-de-l-institut-pierre-renouvin				
Bulletin de psychologie	0007-4403	1968-3766							http://www.cairn.info/revue-bulletin-de-psychologie.htm		revue-bulletin-de-psychologie				
Cahiers critiques de thérapie familiale et de pratiques de réseaux	1372-8202	1782-1398							http://www.cairn.info/revue-cahiers-critiques-de-therapie-familiale.htm		revue-cahiers-critiques-de-therapie-familiale				
Cahiers d'économie Politique / Papers in Political Economy	0154-8344	1969-6779							http://www.cairn.info/revue-cahiers-d-economie-politique.htm		revue-cahiers-d-economie-politique				
Cahiers d'études africaines	0008-0055	1777-5353							http://www.cairn.info/revue-cahiers-d-etudes-africaines.htm		revue-cahiers-d-etudes-africaines				
Cahiers de Gestalt-thérapie	1277-6874	1775-4348							http://www.cairn.info/revue-cahiers-de-gestalt-therapie.htm		revue-cahiers-de-gestalt-therapie				
