publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	publisher_name	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type
			2002	Vol. 57	01	2013	Vol. 68	06	http://www.cairn.info/revue-.htm	Institut national d'études démographiques (INED)		revue-												
Mille huit cent quatre-vingt-quinze	0769-0959	1960-6176	2010	n° 60	01	2012	n° 67	03	http://www.cairn.info/revue-1895.htm	AFRHC		revue-1895												
@GRH	2034-9130		2011	n° 10	01	2014	n°3	04	http://www.cairn.info/revue-@grh.htm	De Boeck Supérieur		revue-@grh												
A contrario	1660-7880	1662-8667	2003	n° 11	01	2014	Vol. 5	02	http://www.cairn.info/revue-a-contrario.htm	BSN Press		revue-a-contrario												
Actes de la recherche en sciences sociales	0335-5322	1955-2564	2001	n° 138	01	2014	N° 205	05	http://www.cairn.info/revue-actes-de-la-recherche-en-sciences-sociales.htm	Le Seuil		revue-actes-de-la-recherche-en-sciences-sociales												
Actualités en analyse transactionnelle	2272-060X		2008	N° 125	01	2015	N° 149	04	http://www.cairn.info/revue-actualites-en-analyse-transactionnelle.htm	Institut français d'analyse transactionnelle		revue-actualites-en-analyse-transactionnelle												
Actuel Marx	0994-4524	1969-6728	2002	n° 31	01	2014	n° 56	02	http://www.cairn.info/revue-actuel-marx.htm	Presses Universitaires de France		revue-actuel-marx												
Adolescence	0751-7696	1969-6736	2004	HS n° 1	01	2014	T.32 n° 4	05	http://www.cairn.info/revue-adolescence.htm	GREUPP		revue-adolescence												
Africultures	1276-2458	2271-1732	2003	n° 54	01	2014	n°70	06	http://www.cairn.info/revue-africultures.htm	Africultures		revue-africultures												
Afrique contemporaine	0002-0478	1782-138X	2003	n° 205	01	2014	n° 250	04	http://www.cairn.info/revue-afrique-contemporaine.htm	De Boeck Supérieur		revue-afrique-contemporaine												
Afrique et histoire	1764-1977	1776-2766	2003	Vol. 1	01	2009	vol. 7	02	http://www.cairn.info/revue-afrique-et-histoire.htm	Verdier		revue-afrique-et-histoire												
Agora débats/jeunesses	1268-5666	1968-3758	2007	N° 43	01	2015	N° 69	04	http://www.cairn.info/revue-agora-debats-jeunesses.htm	Presses de Sciences Po (P.F.N.S.P.)		revue-agora-debats-jeunesses												
Analyse Freudienne Presse	1253-1472	1969-6744	2001	n° 10	01	2014	N° 21	02	http://www.cairn.info/revue-analyse-freudienne-presse.htm	ERES		revue-analyse-freudienne-presse												
Annales. Histoire, Sciences Sociales	0395-2649	1953-8146	2001	56e année	01	2014	69e année	06	http://www.cairn.info/revue-annales.htm	Éditions de l'EHESS		revue-annales												
Annales de Bretagne et des pays de l'Ouest	0399-0826	2108-6443	2012	n° 119-1	01	2014	n° 121-4	04	http://www.cairn.info/revue-annales-de-bretagne-et-des-pays-de-l-ouest.htm	Presses univ. de Rennes		revue-annales-de-bretagne-et-des-pays-de-l-ouest												
Annales de démographie historique	0066-2062	1776-2774	2001	 n° 101	01	2014	n° 127	02	http://www.cairn.info/revue-annales-de-demographie-historique.htm	Belin		revue-annales-de-demographie-historique												
Annales de géographie	0003-4010	1777-5884	2005	n° 641	01	2015	n°679	06	http://www.cairn.info/revue-annales-de-geographie.htm	Armand Colin / Dunod		revue-annales-de-geographie												
Annales de Normandie	0003-4134	2261-4427	2010	60e année	01	2014	64e année	02	http://www.cairn.info/revue-annales-de-normandie.htm	Association Les Annales de Normandie		revue-annales-de-normandie												
Annales. Histoire, Sciences Sociales (English)	2268-3763		2012	67th Year	01	2013	68th Year	04	http://www.cairn.info/revue-annales-english.htm	Éditions de l'EHESS		revue-annales-english												
