publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name	pkb-startdate	pkb-piddomain
Alzheimer's Research & Therapy		1758-9193							http://alzres.com		alzres.com					2009	alzres.com
Beilstein Journal of Organic Chemistry		1860-5397							http://archive.biomedcentral.com/1860-5397/		archive.biomedcentral.com					2005	archive.biomedcentral.com
Arthritis Research & Therapy		1478-6354							http://arthritis-research.com/		arthritis-research.com					1999	arthritis-research.com
BMC Medicine		1741-7015							http://www.biomedcentral.com/bmcmed/		bmcmed					2003	www.biomedcentral.com
BMC Pharmacology		1471-2210							http://www.biomedcentral.com/bmcpharmacol/		bmcpharmacol					2001	www.biomedcentral.com
BMC Psychology		2050-7283							http://www.biomedcentral.com/bmcpsychol/		bmcpsychol					2012	www.biomedcentral.com
Breast Cancer Research		1465-5411							http://breast-cancer-research.com/		breast-cancer-research.com					1999	breast-cancer-research.com
EURASIP Journal on Bioinformatics and Systems Biology		1687-4153							http://bsb.eurasipjournals.com		bsb.eurasipjournals.com					2011	bsb.eurasipjournals.com
Critical Care		1364-8535							http://ccforum.com/		ccforum.com					1997	ccforum.com
Genome Biology		1465-6906							http://genomebiology.com		genomebiology.com					2000	genomebiology.com
Genome Medicine		1756-994X							http://genomemedicine.com		genomemedicine.com					2009	genomemedicine.com
Journal of Biology		1475-4924							http://jbiol.com/		jbiol.com					2002	jbiol.com
Journal of Cardiovascular Magnetic Resonance		1532-429X							http://jcmr-online.com		jcmr-online.com					2008	jcmr-online.com
Chemistry Central Journal		1752-153X							http://journal.chemistrycentral.com/		journal.chemistrycentral.com					2007	journal.chemistrycentral.com
Respiratory Research		1465-9921							http://respiratory-research.com		respiratory-research.com					2000	respiratory-research.com
Stem Cell Research & Therapy		1757-6512							http://stemcellres.com		stemcellres.com					2010	stemcellres.com
Allergy, Asthma & Clinical Immunology		1710-1492							http://www.aacijournal.com		www.aacijournal.com					2009	www.aacijournal.com
Acta Neuropathologica Communications		2051-5960							http://www.actaneurocomms.org		www.actaneurocomms.org					2013	www.actaneurocomms.org
Acta Veterinaria Scandinavica		1751-0147							http://www.actavetscand.com		www.actavetscand.com					2006	www.actavetscand.com
Automated Experimentation		1759-4499							http://www.aejournal.net		www.aejournal.net					2009	www.aejournal.net
Agriculture & Food Security		2048-7010							http://www.agricultureandfoodsecurity.com		www.agricultureandfoodsecurity.com					2012	www.agricultureandfoodsecurity.com
AIDS Research and Therapy		1742-6405							http://www.aidsrestherapy.com		www.aidsrestherapy.com					2004	www.aidsrestherapy.com
Algorithms for Molecular Biology		1748-7188							http://www.almob.org		www.almob.org					2006	www.almob.org
AMB Express		2191-0855							http://www.amb-express.com		www.amb-express.com					2011	www.amb-express.com
Animal Biotelemetry		2050-3385							http://www.animalbiotelemetry.com		www.animalbiotelemetry.com					2012	www.animalbiotelemetry.com
Annals of Clinical Microbiology and Antimicrobials		1476-0711							http://www.ann-clinmicrob.com		www.ann-clinmicrob.com					2002	www.ann-clinmicrob.com
Annals of General Psychiatry		1744-859X							http://www.annals-general-psychiatry.com		www.annals-general-psychiatry.com					2002	www.annals-general-psychiatry.com
Annals of Intensive Care		2110-5820							http://www.annalsofintensivecare.com		www.annalsofintensivecare.com					2011	www.annalsofintensivecare.com
Australia and New Zealand Health Policy		1743-8462							http://www.anzhealthpolicy.com		www.anzhealthpolicy.com					2004	www.anzhealthpolicy.com
Annals of Occupational and Environmental Medicine		2052-4374							http://www.aoemj.com		www.aoemj.com					2013	www.aoemj.com
Asia Pacific Family Medicine		1447-056X							http://www.apfmj.com		www.apfmj.com					2002	www.apfmj.com
Aquatic Biosystems		2046-9063							http://www.aquaticbiosystems.org		www.aquaticbiosystems.org					2005	www.aquaticbiosystems.org
Archives of Public Health		0778-7367							http://www.archpublichealth.com		www.archpublichealth.com					1997	www.archpublichealth.com
Antimicrobial Resistance and Infection Control		2047-2994							http://www.aricjournal.com		www.aricjournal.com					2011	www.aricjournal.com
Botanical Studies		1999-3110							http://www.as-botanicalstudies.com		www.as-botanicalstudies.com					2013	www.as-botanicalstudies.com
Addiction Science & Clinical Practice		1940-0640							http://www.ascpjournal.org		www.ascpjournal.org					2011	www.ascpjournal.org
Annals of Surgical Innovation and Research		1750-1164							http://www.asir-journal.com		www.asir-journal.com					2007	www.asir-journal.com
Basic and Clinical Andrology		2051-4190							http://www.bacandrology.com		www.bacandrology.com					2013	www.bacandrology.com
Behavioral and Brain Functions		1744-9081							http://www.behavioralandbrainfunctions.com		www.behavioralandbrainfunctions.com					2005	www.behavioralandbrainfunctions.com
Biomedical Digital Libraries		1742-5581							http://www.bio-diglib.com		www.bio-diglib.com					2004	www.bio-diglib.com
BioData Mining		1756-0381							http://www.biodatamining.org/		www.biodatamining.org					2008	www.biodatamining.org
Biointerphases		1559-4106							http://www.biointerphases.com		www.biointerphases.com					2011	www.biointerphases.com
Biology of Mood & Anxiety Disorders		2045-5380							http://www.biolmoodanxietydisord.com		www.biolmoodanxietydisord.com					2011	www.biolmoodanxietydisord.com
Biological Procedures Online		1480-9222							http://www.biologicalproceduresonline.com		www.biologicalproceduresonline.com					2009	www.biologicalproceduresonline.com
Biology Direct		1745-6150							http://www.biologydirect.com		www.biologydirect.com					2006	www.biologydirect.com
BioMagnetic Research and Technology		1477-044X							http://www.biomagres.com		www.biomagres.com					2003	www.biomagres.com
Biomarker Research		2050-7771							http://www.biomarkerres.org		www.biomarkerres.org					2013	www.biomarkerres.org
