publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	subtype	subjects	frequency	aspp	iel	ibm	tup	biai	mitp	nokia_bell_labs	oa	csdl	stem10	stem25	stem45	smpteall	smptejnl	agu	
"IEEE Journal on Emerging and Selected Topics in Circuits and Systems"	2156-3357	2156-3365	2011	1	1				https://ieeexplore.ieee.org/servlet/opac?punumber=5503868		5503868		fulltext		IEEE	Serial								P	Journal	Components, Circuits, Devices and Systems	4	*	*														
"IEEE Journal on Exploratory Solid-State Computational Devices and Circuits"		2329-9231	2015	1					https://ieeexplore.ieee.org/servlet/opac?punumber=6570653		6570653		fulltext		IEEE	Serial								F	Journal	Components, Circuits, Devices and Systems; Computing and Processing	1		*						*	*							
"IEEE Journal on Miniaturization for Air and Space Systems"		2576-3164	2020	1	1				https://ieeexplore.ieee.org/servlet/opac?punumber=8253411		8253411		fulltext		IEEE	Serial								P	Journal	Aerospace; Components, Circuits, Devices and Systems; Transportation	4	*	*														
"IEEE Journal on Multiscale and Multiphysics Computational Techniques"		2379-8793	2016	1					https://ieeexplore.ieee.org/servlet/opac?punumber=7274859		7274859		fulltext		IEEE	Serial								P	Journal	Engineered Materials, Dielectrics and Plasmas; Fields, Waves and Electromagnetics; Components, Circuits, Devices and Systems; Computing and Processing	1	*	*														
"IEEE Journal on Robotics and Automation"	0882-4967	2374-8710	1985	1	1	1988	4	6	https://ieeexplore.ieee.org/servlet/opac?punumber=56		56		fulltext		IEEE	Serial								P	Journal	Robotics and Control Systems	6		*														
"IEEE Journal on Selected Areas in Communications"	0733-8716	1558-0008	1983	1	1				https://ieeexplore.ieee.org/servlet/opac?punumber=49		49		fulltext		IEEE	Serial								P	Journal	Communication, Networking and Broadcast Technologies	12	*	*														
"IEEE Journal on Selected Areas in Information Theory"		2641-8770	2020	1	1				https://ieeexplore.ieee.org/servlet/opac?punumber=8700143		8700143		fulltext		IEEE	Serial								P	Journal	Communication, Networking and Broadcast Technologies	4	*	*														
"IEEE Latin America Transactions"		1548-0992	2003	1	1				https://ieeexplore.ieee.org/servlet/opac?punumber=9907		9907		fulltext		IEEE	Serial								P	Journal	Power, Energy and Industry Applications; Communication, Networking and Broadcast Technologies; Components, Circuits, Devices and Systems; Computing and Processing; Engineered Materials, Dielectrics and Plasmas; Fields, Waves and Electromagnetics; General Topics for Engineers	4		*										*				
"IEEE LCS"	1045-9235	1558-2620	1990	1	1	1991	2	1	https://ieeexplore.ieee.org/servlet/opac?punumber=73		73		fulltext		IEEE	Serial								P	Journal	Communication, Networking and Broadcast Technologies; Photonics and Electrooptics	1		*														
"IEEE Letters of the Computer Society"		2573-9689	2018	1	1				https://ieeexplore.ieee.org/servlet/opac?punumber=8012254		8012254		fulltext		IEEE	Serial								P	Journal	Computing and Processing	2	*	*							*							
"IEEE Letters on Electromagnetic Compatibility Practice and Applications"		2637-6423	2019	1	1				https://ieeexplore.ieee.org/servlet/opac?punumber=8566057		8566057		fulltext		IEEE	Serial								P	Journal	Fields, Waves and Electromagnetics; Engineered Materials, Dielectrics and Plasmas	4	*	*														
"IEEE Life Sciences Letters"		2332-7685	2015	1	1	2017	3	4	https://ieeexplore.ieee.org/servlet/opac?punumber=6687320		6687320		fulltext		IEEE	Serial								F	Journal	General Topics for Engineers; Bioengineering	4		*						*								
"IEEE LTS"	1055-6877	1558-2604	1991	2	2	1992	3	4	https://ieeexplore.ieee.org/servlet/opac?punumber=80		80		fulltext		IEEE	Serial							73	P	Journal	Communication, Networking and Broadcast Technologies; Photonics and Electrooptics	4		*														
"IEEE Magnetics Letters"	1949-307X	1949-3088	2010	1					https://ieeexplore.ieee.org/servlet/opac?punumber=5165412		5165412		fulltext		IEEE	Serial								P	Journal	Fields, Waves and Electromagnetics	1	*	*														
"IEEE Micro"	0272-1732	1937-4143	1981	1	1				https://ieeexplore.ieee.org/servlet/opac?punumber=40		40		fulltext		IEEE	Serial								P	Journal	Computing and Processing	6	*	*							*			*				
"IEEE Microwave and Guided Wave Letters"	1051-8207	1558-2329	1991	1	1	2000	10	12	https://ieeexplore.ieee.org/servlet/opac?punumber=75		75		fulltext		IEEE	Serial								P	Journal	Fields, Waves and Electromagnetics	12	*	*														
"IEEE Microwave and Wireless Components Letters"	1531-1309	1558-1764	2001	11	1				https://ieeexplore.ieee.org/servlet/opac?punumber=7260		7260		fulltext		IEEE	Serial							75	P	Journal	Fields, Waves and Electromagnetics; Communication, Networking and Broadcast Technologies; Signal Processing and Analysis	12	*	*														
"IEEE Microwave Magazine"	1527-3342	1557-9581	2000	1	1				https://ieeexplore.ieee.org/servlet/opac?punumber=6668		6668		fulltext		IEEE	Serial								P	Journal	Fields, Waves and Electromagnetics	7	*	*										*				
"IEEE MultiMedia"	1070-986X	1941-0166	1994	1	1				https://ieeexplore.ieee.org/servlet/opac?punumber=93		93		fulltext		IEEE	Serial								P	Journal	Computing and Processing; Communication, Networking and Broadcast Technologies; Signal Processing and Analysis	4	*	*							*		*	*				
"IEEE Nanotechnology Express"		2332-7715	2015	1		2015	1		https://ieeexplore.ieee.org/servlet/opac?punumber=6687319		6687319		fulltext		IEEE	Serial								F	Journal	Components, Circuits, Devices and Systems; Computing and Processing	1		*						*								
"IEEE Nanotechnology Magazine"	1932-4510	1942-7808	2007	1	1				https://ieeexplore.ieee.org/servlet/opac?punumber=4451717		4451717		fulltext		IEEE	Serial								P	Journal	Components, Circuits, Devices and Systems; Computing and Processing	4	*	*										*				
"IEEE Network"	0890-8044	1558-156X	1987	1	1				https://ieeexplore.ieee.org/servlet/opac?punumber=65		65		fulltext		IEEE	Serial								P	Journal	Communication, Networking and Broadcast Technologies; Computing and Processing	6	*	*									*	*				
"IEEE Networking Letters"		2576-3156	2019	1	1				https://ieeexplore.ieee.org/servlet/opac?punumber=8253410		8253410		fulltext		IEEE	Serial								P	Journal	Communication, Networking and Broadcast Technologies; Computing and Processing	4	*	*														
"IEEE Open Access Journal of Power and Energy"		2687-7910	2020	7					https://ieeexplore.ieee.org/servlet/opac?punumber=8784343		8784343		fulltext		IEEE	Serial								F	Journal	Communication, Networking and Broadcast Technologies; Components, Circuits, Devices and Systems; Power, Energy and Industry Applications	1	*	*						*								
"IEEE Open Journal of Antennas and Propagation"		2637-6431	2020	1					https://ieeexplore.ieee.org/servlet/opac?punumber=8566058		8566058		fulltext		IEEE	Serial								F	Journal	Fields, Waves and Electromagnetics; Communication, Networking and Broadcast Technologies; Aerospace	1	*	*						*								
"IEEE Open Journal of Circuits and Systems"		2644-1225	2020	1					https://ieeexplore.ieee.org/servlet/opac?punumber=8784029		8784029		fulltext		IEEE	Serial								F	Journal	Components, Circuits, Devices and Systems	1	*	*						*								
"IEEE Open Journal of Engineering in Medicine and Biology"		2644-1276	2020	1					https://ieeexplore.ieee.org/servlet/opac?punumber=8782705		8782705		fulltext		IEEE	Serial								F	Journal	Bioengineering; Components, Circuits, Devices and Systems; Computing and Processing	1	*	*						*								
"IEEE Open Journal of Industry Applications"		2644-1241	2020	1					https://ieeexplore.ieee.org/servlet/opac?punumber=8782707		8782707		fulltext		IEEE	Serial								F	Journal	Power, Energy and Industry Applications	1	*	*						*								
"IEEE Open Journal of Intelligent Transportation Systems"		2687-7813	2020	1					https://ieeexplore.ieee.org/servlet/opac?punumber=8784355		8784355		fulltext		IEEE	Serial								F	Journal	Transportation; Communication, Networking and Broadcast Technologies	1	*	*						*								
"IEEE Open Journal of Nanotechnology"		2644-1292	2020	1					https://ieeexplore.ieee.org/servlet/opac?punumber=8782713		8782713		fulltext		IEEE	Serial								F	Journal	Components, Circuits, Devices and Systems; Engineered Materials, Dielectrics and Plasmas	1	*	*						*								
"IEEE Open Journal of Power Electronics"		2644-1314	2020	1					https://ieeexplore.ieee.org/servlet/opac?punumber=8782709		8782709		fulltext		IEEE	Serial								F	Journal	Components, Circuits, Devices and Systems; Power, Energy and Industry Applications	1	*	*						*								
"IEEE Open Journal of Signal Processing"		2644-1322	2020	1					https://ieeexplore.ieee.org/servlet/opac?punumber=8782710		8782710		fulltext		IEEE	Serial								F	Journal	Signal Processing and Analysis	1	*	*						*								
"IEEE Open Journal of the Communications Society"		2644-125X	2020	1					https://ieeexplore.ieee.org/servlet/opac?punumber=8782661		8782661		fulltext		IEEE	Serial								F	Journal	Communication, Networking and Broadcast Technologies	1	*	*						*								
"IEEE Open Journal of the Computer Society"		2644-1268	2020	1					https://ieeexplore.ieee.org/servlet/opac?punumber=8782664		8782664		fulltext		IEEE	Serial								F	Journal	Computing and Processing	1	*	*						*								
"IEEE Open Journal of the Industrial Electronics Society"		2644-1284	2020	1					https://ieeexplore.ieee.org/servlet/opac?punumber=8782706		8782706		fulltext		IEEE	Serial								F	Journal	Components, Circuits, Devices and Systems; Power, Energy and Industry Applications	1	*	*						*								
"IEEE Open Journal of the Solid-State Circuits Society"		2644-1349	2021	1					https://ieeexplore.ieee.org/servlet/opac?punumber=8782712		8782712		fulltext		IEEE	Serial								F	Journal	Components, Circuits, Devices and Systems; Photonics and Electrooptics	1	*	*						*								
"IEEE Open Journal of Vehicular Technology"		2644-1330	2020	1					https://ieeexplore.ieee.org/servlet/opac?punumber=8782711		8782711		fulltext		IEEE	Serial								F	Journal	Communication, Networking and Broadcast Technologies; Transportation	1	*	*						*								
"IEEE Parallel & Distributed Technology: Systems & Applications"	1063-6552	1558-1861	1993	1	1	1996	4	4	https://ieeexplore.ieee.org/servlet/opac?punumber=88		88		fulltext		IEEE	Serial								P	Journal	Computing and Processing; Communication, Networking and Broadcast Technologies	4		*							*							
"IEEE Personal Communications"	1070-9916	1558-0652	1994	1	1	2001	8	6	https://ieeexplore.ieee.org/servlet/opac?punumber=98		98		fulltext		IEEE	Serial								P	Journal	General Topics for Engineers; Engineering Profession; Communication, Networking and Broadcast Technologies	6	*	*														
"IEEE Pervasive Computing"	1536-1268	1558-2590	2002	1	1				https://ieeexplore.ieee.org/servlet/opac?punumber=7756		7756		fulltext		IEEE	Serial								P	Journal	Computing and Processing	4	*	*							*		*	*				
"IEEE Photonics Journal"		1943-0655	2009	1	1				https://ieeexplore.ieee.org/servlet/opac?punumber=4563994		4563994		fulltext		IEEE	Serial								F	Journal	Engineered Materials, Dielectrics and Plasmas; Photonics and Electrooptics	6	*	*						*								
"IEEE Photonics Technology Letters"	1041-1135	1941-0174	1989	1	1				https://ieeexplore.ieee.org/servlet/opac?punumber=68		68		fulltext		IEEE	Serial								P	Journal	Engineered Materials, Dielectrics and Plasmas; Photonics and Electrooptics	24	*	*														
"IEEE Potentials"	0278-6648	1558-1772	1982	1	Fall				https://ieeexplore.ieee.org/servlet/opac?punumber=45		45		fulltext		IEEE	Serial								P	Journal	General Topics for Engineers; Engineering Profession	6		*										*				
"IEEE Power and Energy Magazine"	1540-7977	1558-4216	2003	1	1				https://ieeexplore.ieee.org/servlet/opac?punumber=8014		8014		fulltext		IEEE	Serial								P	Journal	Power, Energy and Industry Applications; Geoscience	6	*	*									*	*				
"IEEE Power and Energy Technology Systems Journal"		2332-7707	2014	1					https://ieeexplore.ieee.org/servlet/opac?punumber=6687318		6687318		fulltext		IEEE	Serial								F	Journal	Power, Energy and Industry Applications; Geoscience	4		*						*								
"IEEE Power Electronics Letters"	1540-7985	1558-3767	2003	1	1	2005	3	4	https://ieeexplore.ieee.org/servlet/opac?punumber=8012		8012		fulltext		IEEE	Serial								P	Journal	Power, Energy and Industry Applications; Components, Circuits, Devices and Systems; Aerospace; Communication, Networking and Broadcast Technologies; Computing and Processing; Engineered Materials, Dielectrics and Plasmas; Fields, Waves and Electromagnetics; Nuclear Engineering; Signal Processing and Analysis; Transportation	4	*	*														
"IEEE Power Electronics Magazine"	2329-9207	2329-9215	2014	1	1				https://ieeexplore.ieee.org/servlet/opac?punumber=6570649		6570649		fulltext		IEEE	Serial								P	Journal	Power, Energy and Industry Applications; Components, Circuits, Devices and Systems	4	*	*														
"IEEE Power Engineering Review"	0272-1724	1558-1705	1981	PER-1	1	2002	22	12	https://ieeexplore.ieee.org/servlet/opac?punumber=39		39		fulltext		IEEE	Serial								P	Journal	Power, Energy and Industry Applications	12	*	*														
"IEEE Professional Group on Antennas and Propagation Newsletter"	2168-3670	2168-3689	1963	6	1	1963	6	1	https://ieeexplore.ieee.org/servlet/opac?punumber=5721922		5721922		fulltext		IEEE	Serial							8235	P	Journal	Aerospace; Bioengineering; Communication, Networking and Broadcast Technologies; Components, Circuits, Devices and Systems; Computing and Processing; Engineered Materials, Dielectrics and Plasmas; Engineering Profession; Fields, Waves and Electromagnetics; General Topics for Engineers; Geoscience; Nuclear Engineering; Photonics and Electrooptics; Power, Energy and Industry Applications; Robotics and Control Systems; Signal Processing and Analysis; Transportation	1		*														
"IEEE Professional Technical Group on Antennas and Propagation Newsletter"	2168-3514	2168-3506	1963	6	2	1963	6	2	https://ieeexplore.ieee.org/servlet/opac?punumber=4545875		4545875		fulltext		IEEE	Serial							8235	P	Journal	Fields, Waves and Electromagnetics	1		*														
"IEEE Pulse"	2154-2287	2154-2317	2010	1	1				https://ieeexplore.ieee.org/servlet/opac?punumber=5454060		5454060		fulltext		IEEE	Serial							51	P	Journal	Bioengineering; Computing and Processing; Components, Circuits, Devices and Systems	6	*	*									*	*				
"IEEE Reviews in Biomedical Engineering"	1937-3333	1941-1189	2008	1					https://ieeexplore.ieee.org/servlet/opac?punumber=4664312		4664312		fulltext		IEEE	Serial								P	Journal	Bioengineering; Computing and Processing; Robotics and Control Systems; Signal Processing and Analysis; Communication, Networking and Broadcast Technologies	1	*	*										*				
"IEEE Revista Iberoamericana de Tecnologias del Aprendizaje"		1932-8540	2013	8	1				https://ieeexplore.ieee.org/servlet/opac?punumber=6245520		6245520		fulltext		IEEE	Serial								P	Journal	General Topics for Engineers	4	*	*														
"IEEE Robotics & Automation Magazine"	1070-9932	1558-223X	1994	1	1				https://ieeexplore.ieee.org/servlet/opac?punumber=100		100		fulltext		IEEE	Serial								P	Journal	Robotics and Control Systems; Aerospace; Components, Circuits, Devices and Systems; Computing and Processing; Engineering Profession; General Topics for Engineers; Signal Processing and Analysis; Transportation; Power, Energy and Industry Applications	4	*	*									*	*				
"IEEE Robotics and Automation Letters"		2377-3766	2016	1	1				https://ieeexplore.ieee.org/servlet/opac?punumber=7083369		7083369		fulltext		IEEE	Serial								P	Journal	Robotics and Control Systems; Computing and Processing; Components, Circuits, Devices and Systems	4	*	*														
"IEEE Security & Privacy"	1540-7993	1558-4046	2003	1	1				https://ieeexplore.ieee.org/servlet/opac?punumber=8013		8013		fulltext		IEEE	Serial								P	Journal	Computing and Processing; Aerospace; Bioengineering; Components, Circuits, Devices and Systems; Engineered Materials, Dielectrics and Plasmas; Engineering Profession; Fields, Waves and Electromagnetics; General Topics for Engineers; Nuclear Engineering; Robotics and Control Systems; Signal Processing and Analysis; Transportation; Communication, Networking and Broadcast Technologies; Photonics and Electrooptics; Power, Energy and Industry Applications	6	*	*							*	*	*	*				
"IEEE Sensors Journal"	1530-437X	1558-1748	2001	1	1				https://ieeexplore.ieee.org/servlet/opac?punumber=7361		7361		fulltext		IEEE	Serial								P	Journal	Signal Processing and Analysis; Communication, Networking and Broadcast Technologies; Components, Circuits, Devices and Systems; Robotics and Control Systems	12	*	*														
"IEEE Sensors Letters"		2475-1472	2017	1	1				https://ieeexplore.ieee.org/servlet/opac?punumber=7782634		7782634		fulltext		IEEE	Serial								P	Journal	Components, Circuits, Devices and Systems; Robotics and Control Systems; Communication, Networking and Broadcast Technologies; Signal Processing and Analysis	6	*	*														
"IEEE Signal Processing Letters"	1070-9908	1558-2361	1994	1	1				https://ieeexplore.ieee.org/servlet/opac?punumber=97		97		fulltext		IEEE	Serial								P	Journal	Signal Processing and Analysis; Computing and Processing; Communication, Networking and Broadcast Technologies	12	*	*														
"IEEE Signal Processing Magazine"	1053-5888	1558-0792	1991	8	1				https://ieeexplore.ieee.org/servlet/opac?punumber=79		79		fulltext		IEEE	Serial							53	P	Journal	Signal Processing and Analysis; Communication, Networking and Broadcast Technologies; Computing and Processing	6	*	*										*				
"IEEE Software"	0740-7459	1937-4194	1984	1	1				https://ieeexplore.ieee.org/servlet/opac?punumber=52		52		fulltext		IEEE	Serial								P	Journal	Computing and Processing	6	*	*							*	*	*	*				
"IEEE Solid-State Circuits Letters"		2573-9603	2018	1	1				https://ieeexplore.ieee.org/servlet/opac?punumber=8011414		8011414		fulltext		IEEE	Serial								P	Journal	Components, Circuits, Devices and Systems; Computing and Processing	12	*	*														
"IEEE Solid-State Circuits Magazine"	1943-0582	1943-0590	2009	1	1				https://ieeexplore.ieee.org/servlet/opac?punumber=4563670		4563670		fulltext		IEEE	Serial							4563671	P	Journal	Components, Circuits, Devices and Systems; Engineered Materials, Dielectrics and Plasmas; Aerospace; Computing and Processing; Fields, Waves and Electromagnetics; Geoscience; Robotics and Control Systems; Signal Processing and Analysis; Transportation; Communication, Networking and Broadcast Technologies; Power, Energy and Industry Applications	4	*	*														
"IEEE Solid-State Circuits Society Newsletter"	1098-4232		2000	5	4	2008	13	4	https://ieeexplore.ieee.org/servlet/opac?punumber=4563671		4563671		fulltext		IEEE	Serial								P	Journal	Components, Circuits, Devices and Systems; Engineered Materials, Dielectrics and Plasmas		*	*														
"IEEE Spectrum"	0018-9235	1939-9340	1964	1	1				https://ieeexplore.ieee.org/servlet/opac?punumber=6		6		fulltext		IEEE	Serial							6413714	P	Journal	General Topics for Engineers; Engineering Profession	12		*								*	*	*				
"IEEE Systems Journal"	1932-8184	1937-9234	2007	1	1				https://ieeexplore.ieee.org/servlet/opac?punumber=4267003		4267003		fulltext		IEEE	Serial								P	Journal	Components, Circuits, Devices and Systems; Computing and Processing	4	*	*														
"IEEE Systems, Man, and Cybernetics Magazine"	2380-1298	2333-942X	2015	1	1				https://ieeexplore.ieee.org/servlet/opac?punumber=6745853		6745853		fulltext		IEEE	Serial								P	Journal	Signal Processing and Analysis; Communication, Networking and Broadcast Technologies; Components, Circuits, Devices and Systems; Computing and Processing; General Topics for Engineers; Power, Energy and Industry Applications	4	*	*														
"IEEE Technology and Society Magazine"	0278-0097	1937-416X	1982	1	1				https://ieeexplore.ieee.org/servlet/opac?punumber=44		44		fulltext		IEEE	Serial							6457542	P	Journal	General Topics for Engineers; Engineering Profession	4	*	*								*	*	*				
"IEEE Transactions on Acoustics, Speech, and Signal Processing"	0096-3518		1974	22	1	1990	38	12	https://ieeexplore.ieee.org/servlet/opac?punumber=29		29		fulltext		IEEE	Serial							8337	P	Journal	Signal Processing and Analysis; Communication, Networking and Broadcast Technologies	12		*														
"IEEE Transactions on Advanced Packaging"	1521-3323	1557-9980	1999	22	1	2010	33	4	https://ieeexplore.ieee.org/servlet/opac?punumber=6040		6040		fulltext		IEEE	Serial							95,96,3476	P	Journal	Components, Circuits, Devices and Systems	4	*	*														
"IEEE Transactions on Aerospace"	0536-1516	2374-944X	1963	1	1	1965	AS-3	2	https://ieeexplore.ieee.org/servlet/opac?punumber=4319334		4319334		fulltext		IEEE	Serial							5008109,5483689,5008636	P	Journal	Aerospace; Transportation; Communication, Networking and Broadcast Technologies; Components, Circuits, Devices and Systems; Computing and Processing	3		*														
"IEEE Transactions on Aerospace and Electronic Systems"	0018-9251	1557-9603	1965	AES-1	1				https://ieeexplore.ieee.org/servlet/opac?punumber=7		7		fulltext		IEEE	Serial							4323026,4335581,4319334,4319312	P	Journal	Aerospace; Transportation	4	*	*														
"IEEE Transactions on Aerospace and Navigational Electronics"	0096-1957	2374-9547	1963	ANE-10	1	1965	12	2	https://ieeexplore.ieee.org/servlet/opac?punumber=4319312		4319312		fulltext		IEEE	Serial							5008109,5483689,5008636	P	Journal	Aerospace; Transportation; Communication, Networking and Broadcast Technologies; Components, Circuits, Devices and Systems; Computing and Processing	1		*														
"IEEE Transactions on Affective Computing"		1949-3045	2010	1	1				https://ieeexplore.ieee.org/servlet/opac?punumber=5165369		5165369		fulltext		IEEE	Serial								P	Journal	Computing and Processing; Robotics and Control Systems; Signal Processing and Analysis	4	*	*							*							
"IEEE Transactions on Antennas and Propagation"	0018-926X	1558-2221	1963	11	1				https://ieeexplore.ieee.org/servlet/opac?punumber=8		8		fulltext		IEEE	Serial							8234	P	Journal	Fields, Waves and Electromagnetics; Aerospace; Transportation; Components, Circuits, Devices and Systems	12	*	*														
"IEEE Transactions on Applications and Industry"	0536-1524	2379-6782	1963	82	65	1964	83	75	https://ieeexplore.ieee.org/servlet/opac?punumber=5407695		5407695		fulltext		IEEE	Serial							6366379	P	Journal	Power, Energy and Industry Applications; Geoscience	6		*														
"IEEE Transactions on Applied Superconductivity"	1051-8223	1558-2515	1991	1	1				https://ieeexplore.ieee.org/servlet/opac?punumber=77		77		fulltext		IEEE	Serial								P	Journal	Fields, Waves and Electromagnetics; Engineered Materials, Dielectrics and Plasmas	6	*	*														
"IEEE Transactions on Artificial Intelligence"		2691-4581	2020	1	1				https://ieeexplore.ieee.org/servlet/opac?punumber=9078688		9078688		fulltext		IEEE	Serial								P	Journal	Computing and Processing	3		*														
"IEEE Transactions on Audio"	0096-1620	1558-2663	1963	AU-11	1	1965	AU-13	6	https://ieeexplore.ieee.org/servlet/opac?punumber=8336		8336		fulltext		IEEE	Serial							8335	P	Journal	Signal Processing and Analysis; Communication, Networking and Broadcast Technologies	6		*														
"IEEE Transactions on Audio and Electroacoustics"	0018-9278	1558-2582	1966	14	1	1973	21	6	https://ieeexplore.ieee.org/servlet/opac?punumber=8337		8337		fulltext		IEEE	Serial							8336	P	Journal	Signal Processing and Analysis; Communication, Networking and Broadcast Technologies	6		*														
"IEEE Transactions on Audio, Speech, and Language Processing"	1558-7916	1558-7924	2006	14	1	2013	21	12	https://ieeexplore.ieee.org/servlet/opac?punumber=10376		10376		fulltext		IEEE	Serial							89	P	Journal	Signal Processing and Analysis; Communication, Networking and Broadcast Technologies	10	*	*														
"IEEE Transactions on Automatic Control"	0018-9286	1558-2523	1963	8	1				https://ieeexplore.ieee.org/servlet/opac?punumber=9		9		fulltext		IEEE	Serial							8163	P	Journal	Signal Processing and Analysis	12	*	*														
"IEEE Transactions on Automation Science and Engineering"	1545-5955	1558-3783	2004	1	1				https://ieeexplore.ieee.org/servlet/opac?punumber=8856		8856		fulltext		IEEE	Serial							70	P	Journal	Robotics and Control Systems; Power, Energy and Industry Applications; Components, Circuits, Devices and Systems	4	*	*														
"IEEE Transactions on Autonomous Mental Development"	1943-0604	1943-0612	2009	1	1	2015	7	4	https://ieeexplore.ieee.org/servlet/opac?punumber=4563672		4563672		fulltext		IEEE	Serial								P	Journal	Computing and Processing; Signal Processing and Analysis	4	*	*														
"IEEE Transactions on Big Data"		2332-7790	2015	1	1				https://ieeexplore.ieee.org/servlet/opac?punumber=6687317		6687317		fulltext		IEEE	Serial								P	Journal	Computing and Processing	4	*	*							*							
"IEEE Transactions on Bio-medical Electronics"	0096-0616	2168-1600	1963	10	1	1963	10	4	https://ieeexplore.ieee.org/servlet/opac?punumber=5483695		5483695		fulltext		IEEE	Serial							4322768	P	Journal	Bioengineering; Communication, Networking and Broadcast Technologies; Computing and Processing	4		*														
"IEEE Transactions on Biomedical Circuits and Systems"	1932-4545	1940-9990	2007	1	1				https://ieeexplore.ieee.org/servlet/opac?punumber=4156126		4156126		fulltext		IEEE	Serial								P	Journal	Bioengineering; Components, Circuits, Devices and Systems	6	*	*														
"IEEE Transactions on Biomedical Engineering"	0018-9294	1558-2531	1964	BME-11	3				https://ieeexplore.ieee.org/servlet/opac?punumber=10		10		fulltext		IEEE	Serial							5483695	P	Journal	Bioengineering; Computing and Processing; Components, Circuits, Devices and Systems; Communication, Networking and Broadcast Technologies	12	*	*														
"IEEE Transactions on Biometrics, Behavior, and Identity Science"		2637-6407	2019	1	1				https://ieeexplore.ieee.org/servlet/opac?punumber=8423754		8423754		fulltext		IEEE	Serial								P	Journal	Bioengineering; Computing and Processing; Communication, Networking and Broadcast Technologies; Components, Circuits, Devices and Systems	4	*	*														
"IEEE Transactions on Broadcast and Television Receivers"	0018-9308	2168-166X	1963	BTR-9	1	1974	BTR-20	4	https://ieeexplore.ieee.org/servlet/opac?punumber=4079767		4079767		fulltext		IEEE	Serial							4502897	P	Journal	Communication, Networking and Broadcast Technologies; Signal Processing and Analysis	4		*														
"IEEE Transactions on Broadcasting"	0018-9316	1557-9611	1963	BC-9	1				https://ieeexplore.ieee.org/servlet/opac?punumber=11		11		fulltext		IEEE	Serial							4501502	P	Journal	Communication, Networking and Broadcast Technologies	4	*	*														
"IEEE Transactions on Cable Television"	0147-3204		1976	CATV-1	1	1980	CATV-5	4	https://ieeexplore.ieee.org/servlet/opac?punumber=4065009		4065009		fulltext		IEEE	Serial								P	Journal	Communication, Networking and Broadcast Technologies; Signal Processing and Analysis	4		*														
"IEEE Transactions on Circuit Theory"	0018-9324	2374-9555	1963	10	1	1973	20	6	https://ieeexplore.ieee.org/servlet/opac?punumber=8147		8147		fulltext		IEEE	Serial							8148	P	Journal	Components, Circuits, Devices and Systems	6		*														
"IEEE Transactions on Circuits and Systems"	0098-4094	1558-1276	1974	21	1	1991	38	12	https://ieeexplore.ieee.org/servlet/opac?punumber=31		31		fulltext		IEEE	Serial							8147	P	Journal	Components, Circuits, Devices and Systems	12		*														
"IEEE Transactions on Circuits and Systems for Video Technology"	1051-8215	1558-2205	1991	1	1				https://ieeexplore.ieee.org/servlet/opac?punumber=76		76		fulltext		IEEE	Serial								P	Journal	Components, Circuits, Devices and Systems; Communication, Networking and Broadcast Technologies; Computing and Processing; Signal Processing and Analysis	12	*	*														
"IEEE Transactions on Circuits and Systems I: Fundamental Theory and Applications"	1057-7122	1558-1268	1992	39	1	2003	50	12	https://ieeexplore.ieee.org/servlet/opac?punumber=81		81		fulltext		IEEE	Serial							31	P	Journal	Components, Circuits, Devices and Systems	12	*	*														
"IEEE Transactions on Circuits and Systems I: Regular Papers"	1549-8328	1558-0806	2004	51	1				https://ieeexplore.ieee.org/servlet/opac?punumber=8919		8919		fulltext		IEEE	Serial							81	P	Journal	Components, Circuits, Devices and Systems	12	*	*														
"IEEE Transactions on Circuits and Systems II: Analog and Digital Signal Processing"	1057-7130	1558-125X	1992	39	1	2003	50	12	https://ieeexplore.ieee.org/servlet/opac?punumber=82		82		fulltext		IEEE	Serial							31	P	Journal	Components, Circuits, Devices and Systems; Signal Processing and Analysis; Communication, Networking and Broadcast Technologies; Computing and Processing	12	*	*														
"IEEE Transactions on Circuits and Systems II: Express Briefs"	1549-7747	1558-3791	2004	51	1				https://ieeexplore.ieee.org/servlet/opac?punumber=8920		8920		fulltext		IEEE	Serial							82	P	Journal	Components, Circuits, Devices and Systems	12	*	*														
"IEEE Transactions on Cloud Computing"		2168-7161	2013	1	1				https://ieeexplore.ieee.org/servlet/opac?punumber=6245519		6245519		fulltext		IEEE	Serial								P	Journal	Computing and Processing; Communication, Networking and Broadcast Technologies	4	*	*							*							
"IEEE Transactions on Cognitive and Developmental Systems"	2379-8920	2379-8939	2016	8	1				https://ieeexplore.ieee.org/servlet/opac?punumber=7274989		7274989		fulltext		IEEE	Serial							4563672	P	Journal	Computing and Processing; Signal Processing and Analysis	4	*	*														
"IEEE Transactions on Cognitive Communications and Networking"		2332-7731	2015	1	1				https://ieeexplore.ieee.org/servlet/opac?punumber=6687307		6687307		fulltext		IEEE	Serial								P	Journal	Communication, Networking and Broadcast Technologies; Components, Circuits, Devices and Systems; Computing and Processing	4	*	*														
