publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	pkb-doi
The History of Psychology: Global Perspectives	9780195366556	9780199940424							www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780195366556.001.0001/oxfordhb-9780195366556		oxfordhb/9780195366556					Handbook									10.1093/oxfordhb/9780195366556.001.0001
Personality Assessment	9780195366877	9780199940592							www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780195366877.001.0001/oxfordhb-9780195366877		oxfordhb/9780195366877					Handbook									10.1093/oxfordhb/9780195366877.001.0001
Clinical Psychology	9780195366884	9780199940202							www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780195366884.001.0001/oxfordhb-9780195366884		oxfordhb/9780195366884					Handbook									10.1093/oxfordhb/9780195366884.001.0001
Urban Politics	9780195367867	9780199968770							www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780195367867.001.0001/oxfordhb-9780195367867		oxfordhb/9780195367867					Handbook									10.1093/oxfordhb/9780195367867.001.0001
American Literary Naturalism	9780195368932	9780199940110							www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780195368932.001.0001/oxfordhb-9780195368932		oxfordhb/9780195368932					Handbook									10.1093/oxfordhb/9780195368932.001.0001
Evangelical Theology	9780195369441	9780199892242							www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780195369441.001.0001/oxfordhb-9780195369441		oxfordhb/9780195369441					Handbook									10.1093/oxfordhb/9780195369441.001.0001
New Religious Movements	9780195369649	9780199892167							www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780195369649.001.0001/oxfordhb-9780195369649		oxfordhb/9780195369649					Handbook									10.1093/oxfordhb/9780195369649.001.0001
School Psychology	9780195369809	9780199940646							www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780195369809.001.0001/oxfordhb-9780195369809		oxfordhb/9780195369809					Handbook									10.1093/oxfordhb/9780195369809.001.0001
Animal Ethics	9780195371963	9780199940134							www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780195371963.001.0001/oxfordhb-9780195371963		oxfordhb/9780195371963					Handbook									10.1093/oxfordhb/9780195371963.001.0001
The History of Eugenics	9780195373141	9780199940417							www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780195373141.001.0001/oxfordhb-9780195373141		oxfordhb/9780195373141					Handbook									10.1093/oxfordhb/9780195373141.001.0001
Eating Disorders	9780195373622	9780199940318							www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780195373622.001.0001/oxfordhb-9780195373622		oxfordhb/9780195373622					Handbook									10.1093/oxfordhb/9780195373622.001.0001
Event-Related Potential Components	9780195374148	9780199940356							www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780195374148.001.0001/oxfordhb-9780195374148		oxfordhb/9780195374148					Handbook									10.1093/oxfordhb/9780195374148.001.0001
Urban Planning	9780195374995	9780199968763							www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780195374995.001.0001/oxfordhb-9780195374995		oxfordhb/9780195374995					Handbook									10.1093/oxfordhb/9780195374995.001.0001
Maritime Archaeology	9780195375176	9780199940493							www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780195375176.001.0001/oxfordhb-9780195375176		oxfordhb/9780195375176					Handbook									10.1093/oxfordhb/9780195375176.001.0001
Stress, Health, and Coping	9780195375343	9780199940707							www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780195375343.001.0001/oxfordhb-9780195375343		oxfordhb/9780195375343					Handbook									10.1093/oxfordhb/9780195375343.001.0001
Mobile Music Studies, Volume 1	9780195375725	9780199984114							www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780195375725.001.0001/oxfordhb-9780195375725		oxfordhb/9780195375725					Handbook									10.1093/oxfordhb/9780195375725.001.0001
National Security Intelligence	9780195375886	9780199892211							www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780195375886.001.0001/oxfordhb-9780195375886		oxfordhb/9780195375886					Handbook									10.1093/oxfordhb/9780195375886.001.0001
Ancient Anatolia	9780195376142	9780199940127							www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780195376142.001.0001/oxfordhb-9780195376142		oxfordhb/9780195376142					Handbook									10.1093/oxfordhb/9780195376142.001.0001
Sleep and Sleep Disorders	9780195376203	9780199940837							www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780195376203.001.0001/oxfordhb-9780195376203		oxfordhb/9780195376203					Handbook									10.1093/oxfordhb/9780195376203.001.0001
Obsessive Compulsive and Spectrum Disorders	9780195376210	9780199940561							www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780195376210.001.0001/oxfordhb-9780195376210		oxfordhb/9780195376210					Handbook									10.1093/oxfordhb/9780195376210.001.0001
Political Philosophy	9780195376692	9780199968886							www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780195376692.001.0001/oxfordhb-9780195376692		oxfordhb/9780195376692					Handbook									10.1093/oxfordhb/9780195376692.001.0001
Cognitive Psychology	9780195376746	9780199978304							www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780195376746.001.0001/oxfordhb-9780195376746		oxfordhb/9780195376746					Handbook									10.1093/oxfordhb/9780195376746.001.0001
Mexican Politics	9780195377385	9780199940516							www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780195377385.001.0001/oxfordhb-9780195377385		oxfordhb/9780195377385					Handbook									10.1093/oxfordhb/9780195377385.001.0001
International Commercial Policy	9780195378047	9780199968817							www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780195378047.001.0001/oxfordhb-9780195378047		oxfordhb/9780195378047					Handbook									10.1093/oxfordhb/9780195378047.001.0001
Medieval Philosophy	9780195379488	9780199968855							www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780195379488.001.0001/oxfordhb-9780195379488		oxfordhb/9780195379488					Handbook									10.1093/oxfordhb/9780195379488.001.0001
Children's Literature	9780195379785	9780199940189							www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780195379785.001.0001/oxfordhb-9780195379785		oxfordhb/9780195379785					Handbook									10.1093/oxfordhb/9780195379785.001.0001
North American Archaeology	9780195380118	9780199940912							www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780195380118.001.0001/oxfordhb-9780195380118		oxfordhb/9780195380118					Handbook									10.1093/oxfordhb/9780195380118.001.0001
Urban Economics and Planning	9780195380620	9780199940738							www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780195380620.001.0001/oxfordhb-9780195380620		oxfordhb/9780195380620					Handbook									10.1093/oxfordhb/9780195380620.001.0001
Southern Politics	9780195381948	9780199940899							www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780195381948.001.0001/oxfordhb-9780195381948		oxfordhb/9780195381948					Handbook									10.1093/oxfordhb/9780195381948.001.0001
Tense and Aspect	9780195381979	9780199940875							www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780195381979.001.0001/oxfordhb-9780195381979		oxfordhb/9780195381979					Handbook									10.1093/oxfordhb/9780195381979.001.0001
Applied Linguistics (2 ed.)	9780195384253	9780199940158							www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780195384253.001.0001/oxfordhb-9780195384253		oxfordhb/9780195384253					Handbook									10.1093/oxfordhb/9780195384253.001.0001
Work and Aging	9780195385052	9780199940752							www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780195385052.001.0001/oxfordhb-9780195385052		oxfordhb/9780195385052					Handbook									10.1093/oxfordhb/9780195385052.001.0001
Juvenile Crime and Juvenile Justice	9780195385106	9780199940776							www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780195385106.001.0001/oxfordhb-9780195385106		oxfordhb/9780195385106					Handbook									10.1093/oxfordhb/9780195385106.001.0001
The American Musical	9780195385946	9780199940714							www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780195385946.001.0001/oxfordhb-9780195385946		oxfordhb/9780195385946					Handbook									10.1093/oxfordhb/9780195385946.001.0001
New York State Government and Politics	9780195387230	9780199971107							www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780195387230.001.0001/oxfordhb-9780195387230		oxfordhb/9780195387230					Handbook									10.1093/oxfordhb/9780195387230.001.0001
Sports Economics, Volume 1	9780195387773	9780199940851							www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780195387773.001.0001/oxfordhb-9780195387773		oxfordhb/9780195387773					Handbook									10.1093/oxfordhb/9780195387773.001.0001
Sports Economics, Volume 2	9780195387780	9780199940868							www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780195387780.001.0001/oxfordhb-9780195387780		oxfordhb/9780195387780					Handbook									10.1093/oxfordhb/9780195387780.001.0001
Suicide and Self-Injury	9780195388565	9780199984787							www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780195388565.001.0001/oxfordhb-9780195388565		oxfordhb/9780195388565					Handbook									10.1093/oxfordhb/9780195388565.001.0001
Philosophy of Death	9780195388923	9780199971367							www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780195388923.001.0001/oxfordhb-9780195388923		oxfordhb/9780195388923					Handbook									10.1093/oxfordhb/9780195388923.001.0001
Sound Studies	9780195388947	9780199940691							www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780195388947.001.0001/oxfordhb-9780195388947		oxfordhb/9780195388947					Handbook									10.1093/oxfordhb/9780195388947.001.0001
Impulse Control Disorders	9780195389715	9780199940431							www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780195389715.001.0001/oxfordhb-9780195389715		oxfordhb/9780195389715					Handbook									10.1093/oxfordhb/9780195389715.001.0001
Deaf Studies, Language, and Education, Volume 2	9780195390032	9780199940288							www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780195390032.001.0001/oxfordhb-9780195390032		oxfordhb/9780195390032					Handbook									10.1093/oxfordhb/9780195390032.001.0001
The Economics of Religion	9780195390049	9780199940332							www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780195390049.001.0001/oxfordhb-9780195390049		oxfordhb/9780195390049					Handbook									10.1093/oxfordhb/9780195390049.001.0001
Lifelong Learning	9780195390483	9780199940486							www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780195390483.001.0001/oxfordhb-9780195390483		oxfordhb/9780195390483					Handbook									10.1093/oxfordhb/9780195390483.001.0001
Post-Keynesian Economics, Volume 2	9780195390759	9780199984411							www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780195390759.001.0001/oxfordhb-9780195390759		oxfordhb/9780195390759					Handbook									10.1093/oxfordhb/9780195390759.001.0001
Post-Keynesian Economics, Volume 1	9780195390766	9780199984404							www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780195390766.001.0001/oxfordhb-9780195390766		oxfordhb/9780195390766					Handbook									10.1093/oxfordhb/9780195390766.001.0001
Mesoamerican Archaeology	9780195390933	9780199971183							www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780195390933.001.0001/oxfordhb-9780195390933		oxfordhb/9780195390933					Handbook									10.1093/oxfordhb/9780195390933.001.0001
Capitalism	9780195391176	9780199968725							www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780195391176.001.0001/oxfordhb-9780195391176		oxfordhb/9780195391176					Handbook									10.1093/oxfordhb/9780195391176.001.0001
Entrepreneurial Finance	9780195391244	9780199940820							www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780195391244.001.0001/oxfordhb-9780195391244		oxfordhb/9780195391244					Handbook									10.1093/oxfordhb/9780195391244.001.0001
Sondheim Studies	9780195391374	9780199984701							www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780195391374.001.0001/oxfordhb-9780195391374		oxfordhb/9780195391374					Handbook									10.1093/oxfordhb/9780195391374.001.0001
Private Equity	9780195391589	9780199940813							www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780195391589.001.0001/oxfordhb-9780195391589		oxfordhb/9780195391589					Handbook									10.1093/oxfordhb/9780195391589.001.0001
Venture Capital	9780195391596	9780199968732							www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780195391596.001.0001/oxfordhb-9780195391596		oxfordhb/9780195391596					Handbook									10.1093/oxfordhb/9780195391596.001.0001
Philosophy of Physics	9780195392043	9780199971374							www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780195392043.001.0001/oxfordhb-9780195392043		oxfordhb/9780195392043					Handbook									10.1093/oxfordhb/9780195392043.001.0001
Caribbean Archaeology	9780195392302	9780199971435							www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780195392302.001.0001/oxfordhb-9780195392302		oxfordhb/9780195392302					Handbook									10.1093/oxfordhb/9780195392302.001.0001
Comparative Cognition	9780195392661	9780199968701							www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780195392661.001.0001/oxfordhb-9780195392661		oxfordhb/9780195392661					Handbook									10.1093/oxfordhb/9780195392661.001.0001
Philosophy of Social Science	9780195392753	9780199971084							www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780195392753.001.0001/oxfordhb-9780195392753		oxfordhb/9780195392753					Handbook									10.1093/oxfordhb/9780195392753.001.0001
The Economics of Peace and Conflict	9780195392777	9780199940806							www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780195392777.001.0001/oxfordhb-9780195392777		oxfordhb/9780195392777					Handbook									10.1093/oxfordhb/9780195392777.001.0001
The Development of Play	9780195393002	9780199940295							www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780195393002.001.0001/oxfordhb-9780195393002		oxfordhb/9780195393002					Handbook									10.1093/oxfordhb/9780195393002.001.0001
the Economics of Poverty	9780195393781	9780199971282							www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780195393781.001.0001/oxfordhb-9780195393781		oxfordhb/9780195393781					Handbook									10.1093/oxfordhb/9780195393781.001.0001
Medieval Latin Literature	9780195394016	9780199968688							www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780195394016.001.0001/oxfordhb-9780195394016		oxfordhb/9780195394016					Handbook									10.1093/oxfordhb/9780195394016.001.0001
Exercise Psychology	9780195394313	9780199968848							www.oxfordhandbooks.com/view/10.1093/oxfordhb/9780195394313.001.0001/oxfordhb-9780195394313		oxfordhb/9780195394313					Handbook									10.1093/oxfordhb/9780195394313.001.0001
