	publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_issue_online	num_first_vol_online	date_last_issue_online	num_last_issue_online	num_last_vol_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	title_availability
0	Mondo Exotica: Sounds, Visions, Obsessions of the Cocktail Generation	9780822341567.0	9780822389088.0							http://doi.org/10.1215/9780822389088	Adinolfi, Francesco			fulltext		Duke University Press	Monograph	2008.0	2008.0						P	Available
1	Imposing Harmony: Music and Society in Colonial Cuzco	9780822341604.0	9780822388753.0							http://doi.org/10.1215/9780822388753	Baker, Geoffrey			fulltext		Duke University Press	Monograph	2008.0	2008.0						P	Available
2	Indians and Leftists in the Making of Ecuador's Modern Indigenous Movements	9780822342793.0	9780822381457.0							http://doi.org/10.1215/9780822381457	Becker, Marc			fulltext		Duke University Press	Monograph	2008.0	2008.0						P	Available
3	The Female Complaint: The Unfinished Business of Sentimentality in American Culture	9780822342021.0	9780822389163.0							http://doi.org/10.1215/9780822389163	Berlant, Lauren			fulltext		Duke University Press	Monograph	2008.0	2008.0						P	Available
4	Bacchanalian Sentiments: Musical Experiences and Political Counterpoints in Trinidad	9780822341659.0	9780822388746.0							http://doi.org/10.1215/9780822388746	Birth, Kevin			fulltext		Duke University Press	Monograph	2008.0	2008.0						P	Available
5	Chicana Sexuality and Gender: Cultural Refiguring in Literature, Oral History, and Art	9780822343103.0	9780822381228.0							http://doi.org/10.1215/9780822381228	Blake, Debra			fulltext		Duke University Press	Monograph	2008.0	2008.0						P	Available
6	Punctuation: Art, Politics, and Play	9780822342359.0	9780822389095.0							http://doi.org/10.1215/9780822389095	Brody, Jennifer			fulltext		Duke University Press	Monograph	2008.0	2008.0						P	Available
7	Babylon Girls: Black Women Performers and the Shaping of the Modern	9780822341574.0	9780822390695.0							http://doi.org/10.1215/9780822390695	Brown, Jayna			fulltext		Duke University Press	Monograph	2008.0	2008.0						P	Available
8	In an Abusive State: How Neoliberalism Appropriated the Feminist Movement against Sexual Violence	9780822342397.0	9780822389071.0							http://doi.org/10.1215/9780822389071	Bumiller, Kristin			fulltext		Duke University Press	Monograph	2008.0	2008.0						P	Available
9	Production Culture: Industrial Reflexivity and Critical Practice in Film and Television	9780822341116.0	9780822388968.0							http://doi.org/10.1215/9780822388968	Caldwell, John Thornton			fulltext		Duke University Press	Monograph	2008.0	2008.0						P	Available
10	The New Pluralism: William Connolly and the Contemporary Global Condition	9780822342700.0	9780822389149.0							http://doi.org/10.1215/9780822389149	Campbell, David			fulltext		Duke University Press	Monograph	2008.0	2008.0						P	Available
11	Power Lines: On the Subject of Feminist Alliances	9780822343172.0	9780822389200.0							http://doi.org/10.1215/9780822389200	Carrillo Rowe, Aimee			fulltext		Duke University Press	Monograph	2008.0	2008.0						P	Available
12	The Quality of Home Runs: The Passion, Politics, and Language of Cuban Baseball	9780822342762.0	9780822381426.0							http://doi.org/10.1215/9780822381426	Carter, Thomas			fulltext		Duke University Press	Monograph	2008.0	2008.0						P	Available
13	Moral Spectatorship: Technologies of Voice and Affect in Postwar Representations of the Child	9780822341949.0	9780822389255.0							http://doi.org/10.1215/9780822389255	Cartwright, Lisa			fulltext		Duke University Press	Monograph	2008.0	2008.0						P	Available
14	Interior States: Institutional Consciousness and the Inner Life of Democracy in the Antebellum United States	9780822342670.0	9780822389248.0							http://doi.org/10.1215/9780822389248	Castiglia, Christopher			fulltext		Duke University Press	Monograph	2008.0	2008.0						P	Available
15	High Stakes: Florida Seminole Gaming and Sovereignty	9780822342274.0	9780822391302.0							http://doi.org/10.1215/9780822391302	Cattelino, Jessica			fulltext		Duke University Press	Monograph	2008.0	2008.0						P	Available
16	Mediterranean Crossings: The Politics of an Interrupted Modernity	9780822341505.0	9780822388869.0							http://doi.org/10.1215/9780822388869	Chambers, Iain			fulltext		Duke University Press	Monograph	2008.0	2008.0						P	Available
17	Miniature Messages: The Semiotics and Politics of Latin American Postage Stamps	9780822341994.0	9780822389279.0							http://doi.org/10.1215/9780822389279	Child, Jack			fulltext		Duke University Press	Monograph	2008.0	2008.0						P	Available
18	Linked Labor Histories: New England, Colombia, and the Making of a Global Working Class	9780822341901.0	9780822388913.0							http://doi.org/10.1215/9780822388913	Chomsky, Aviva			fulltext		Duke University Press	Monograph	2008.0	2008.0						P	Available
19	Capitalism and Christianity, American Style	9780822342724.0	9780822381235.0							http://doi.org/10.1215/9780822381235	Connolly, William			fulltext		Duke University Press	Monograph	2008.0	2008.0						P	Available
20	The Ecuador Reader: History, Culture, Politics	9780822343745.0	9780822390114.0							http://doi.org/10.1215/9780822390114	de la Torre, Carlos			fulltext		Duke University Press	Monograph	2009.0	2008.0						P	Available
21	The Indian Militia and Description of the Indies	9780822343141.0	9780822389064.0							http://doi.org/10.1215/9780822389064	de Vargas Machuca, Captain Bernardo			fulltext		Duke University Press	Monograph	2008.0	2008.0						P	Available
22	Freedom's Empire: Race and the Rise of the Novel in Atlantic Modernity, 1640-1940	9780822341598.0	9780822388739.0							http://doi.org/10.1215/9780822388739	Doyle, Laura			fulltext		Duke University Press	Monograph	2008.0	2008.0						P	Available
23	Twenty Theses on Politics	9780822343455.0	9780822389446.0							http://doi.org/10.1215/9780822389446	Dussel, Enrique			fulltext		Duke University Press	Monograph	2008.0	2008.0						P	Available
