publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id_	access_type
Abstract and Applied Analysis	1085-3375	1687-0409	1996	1.0	1				https://projecteuclid.org/journals/abstract-and-applied-analysis		abstract-and-applied-analysis		fulltext	Articles older than 5 years are open.	Hindawi	Serial								P
Advances in Applied Probability	0001-8678	1475-6064	2011-03	43.0	1	2016-12-01	48.0	4	https://projecteuclid.org/journals/advances-in-applied-probability		advances-in-applied-probability		fulltext	Available by subscription only.	Applied Probability Trust	Serial								P
Acta Mathematica	0001-5962	1871-2509	1882	1.0					https://projecteuclid.org/journals/acta-mathematica		acta-mathematica	P365D	fulltext	All content is open. New issues appear on Euclid 1 year(s) after publication.	Institut Mittag-Leffler	Serial								F
Advances in Differential Equations	1079-9389		1996	1.0	1				https://projecteuclid.org/journals/advances-in-differential-equations		advances-in-differential-equations		fulltext	Articles older than 10 years are open.	Khayyam Publishing, Inc.	Serial								P
African Diaspora Journal of Mathematics. New Series		1539-854X	2009	9.0	2				https://projecteuclid.org/journals/african-diaspora-journal-of-mathematics		african-diaspora-journal-of-mathematics		fulltext	Articles older than 5 years are open.	Mathematical Research Publishers	Serial								P
Annals of Functional Analysis		2008-8752	2010	1.0	1	2019-11-01	10.0	4	https://projecteuclid.org/journals/annals-of-functional-analysis		annals-of-functional-analysis		fulltext	Articles older than 5 years are open.	Tusi Mathematical Research Group	Serial								P
Arkiv för Matematik	0004-2080	1871-2487	1949-09-07	1.0	1				https://projecteuclid.org/journals/arkiv-for-matematik		arkiv-for-matematik	P365D	fulltext	All content is open. New issues appear on Euclid 1 year(s) after publication.	Institut Mittag-Leffler	Serial								F
Algebraic & Geometric Topology	1472-2747	1472-2739	2001	1.0	1				https://projecteuclid.org/journals/algebraic-and-geometric-topology		algebraic-and-geometric-topology		fulltext	Articles older than 5 years are open.	MSP	Serial								P
Annales de l'Institut Henri Poincaré, Probabilités et Statistiques	0246-0203		2008-02	44.0	1				https://projecteuclid.org/journals/annales-de-linstitut-henri-poincare-probabilites-et-statistiques		annales-de-linstitut-henri-poincare-probabilites-et-statistiques		fulltext	Articles older than 3 years are open.	Institut Henri Poincaré	Serial								P
African Journal of Applied Statistics	2316-0861		2014	1.0	1				https://projecteuclid.org/journals/african-journal-of-applied-statistics		african-journal-of-applied-statistics		fulltext	Articles older than 5 years are open.	Statistics and Probability African Society	Serial								P
Asian Journal of Mathematics	1093-6106	1945-0036	2004-01	8.0	1	2014-11-01	18.0	5	https://projecteuclid.org/journals/asian-journal-of-mathematics		asian-journal-of-mathematics		fulltext	Articles older than 5 years are open.	International Press of Boston	Serial								F
Annals of K-Theory	2379-1683	2379-1691	2016	1.0	1				https://projecteuclid.org/journals/annals-of-k-theory		annals-of-k-theory		fulltext	Articles older than 5 years are open.	MSP	Serial								P
Algebra & Number Theory	1937-0652	1944-7833	2007	1.0	1				https://projecteuclid.org/journals/algebra-and-number-theory		algebra-and-number-theory		fulltext	Articles older than 5 years are open.	MSP	Serial								P
Annals of Applied Probability	1050-5164	2168-8737	1991-02	1.0	1				https://projecteuclid.org/journals/annals-of-applied-probability		annals-of-applied-probability		fulltext	Articles older than 3 years are open.	Institute of Mathematical Statistics	Serial								P
Annals of Applied Statistics	1932-6157	1941-7330	2007-06	1.0	1				https://projecteuclid.org/journals/annals-of-applied-statistics		annals-of-applied-statistics		fulltext	Articles older than 3 years are open.	Institute of Mathematical Statistics	Serial								P
Annals of Mathematical Statistics	0003-4851	2168-8990	1930-02	1.0	1	1976-01-01	0.0		https://projecteuclid.org/journals/annals-of-mathematical-statistics		annals-of-mathematical-statistics		fulltext	All content is open.	Institute of Mathematical Statistics	Serial								F
Annals of Probability	0091-1798	2168-894X	1973-02	1.0	1				https://projecteuclid.org/journals/annals-of-probability		annals-of-probability		fulltext	Articles older than 3 years are open.	Institute of Mathematical Statistics	Serial								P
Annals of Statistics	0090-5364	2168-8966	1973-01	1.0	1				https://projecteuclid.org/journals/annals-of-statistics		annals-of-statistics		fulltext	Articles older than 3 years are open.	Institute of Mathematical Statistics	Serial								P
Advances in Operator Theory		2538-225X	2016	1.0	1	2019-09-01	4.0	4	https://projecteuclid.org/journals/advances-in-operator-theory		advances-in-operator-theory		fulltext	Articles older than 5 years are open.	Tusi Mathematical Research Group	Serial								P
Analysis & PDE	2157-5045	1948-206X	2008	1.0	1				https://projecteuclid.org/journals/analysis-and-pde		analysis-and-pde		fulltext	Articles older than 5 years are open.	MSP	Serial								P
Afrika Statistika	2316-090X		2005	1.0	1				https://projecteuclid.org/journals/afrika-statistika		afrika-statistika		fulltext	Articles older than 5 years are open.	Statistics and Probability African Society	Serial								P
Advanced Studies in Pure Mathematics	0920-1971	2433-8915	1983						https://projecteuclid.org/proceedings/advanced-studies-in-pure-mathematics		euclid.aspm/0920-1971		fulltext	Volumes older than 5 years are open.	Mathematical Society of Japan	Serial								P
Algebraic Varieties and Analytic Varieties	978-0-44486-612-7	978-4-86497-059-4							https://projecteuclid.org/proceedings/advanced-studies-in-pure-mathematics/algebraic-varieties-and-analytic-varieties/toc/10.2969/aspm/00110000		euclid.aspm/1524598004		fulltext		Mathematical Society of Japan	Monograph	1983	43214.0	1		Iitaka	euclid.aspm/0920-1971		F
Galois Groups and their Representations	978-0-44486-835-0	978-4-86497-060-0							https://projecteuclid.org/proceedings/advanced-studies-in-pure-mathematics/galois-groups-and-their-representations/toc/10.2969/aspm/00210000		euclid.aspm/1524605663		fulltext		Mathematical Society of Japan	Monograph	1983	43214.0	2		Ihara	euclid.aspm/0920-1971		F
Geometry of Geodesics and Related Topics	978-0-44487-545-7	978-4-86497-061-7							https://projecteuclid.org/proceedings/advanced-studies-in-pure-mathematics/geometry-of-geodesics-and-related-topics/toc/10.2969/aspm/00310000		euclid.aspm/1525309534		fulltext		Mathematical Society of Japan	Monograph	1984	43223.0	3		Shiohama	euclid.aspm/0920-1971		F
Group Representations and Systems of Differential Equations	0-444-87710-X	978-4-86497-062-4							https://projecteuclid.org/proceedings/advanced-studies-in-pure-mathematics/group-representations-and-systems-of-differential-equations/toc/10.2969/aspm/00410000		euclid.aspm/1525309607		fulltext		Mathematical Society of Japan	Monograph	1984	43223.0	4		Okamoto	euclid.aspm/0920-1971		F
Foliations	978-0-44487-939-4	978-4-86497-063-1							https://projecteuclid.org/proceedings/advanced-studies-in-pure-mathematics/foliations/toc/10.2969/aspm/00510000		euclid.aspm/1525309680		fulltext		Mathematical Society of Japan	Monograph	1985	43223.0	5		Tamura	euclid.aspm/0920-1971		F
Algebraic Groups and Related Topics	978-0-44487-711-6	978-4-86497-064-8							https://projecteuclid.org/proceedings/advanced-studies-in-pure-mathematics/algebraic-groups-and-related-topics/toc/10.2969/aspm/00610000		euclid.aspm/1525309852		fulltext		Mathematical Society of Japan	Monograph	1985	43223.0	6		Hotta	euclid.aspm/0920-1971		F
