publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id_	access_type
Abstract and Applied Analysis	1085-3375	1687-0409	1996	1.0	1				https://projecteuclid.org/journals/abstract-and-applied-analysis		abstract-and-applied-analysis		fulltext	Articles older than 5 years are open.	Hindawi	Serial								P
African Diaspora Journal of Mathematics. New Series		1539-854X	2009	9.0	2				https://projecteuclid.org/journals/african-diaspora-journal-of-mathematics		african-diaspora-journal-of-mathematics		fulltext	Articles older than 5 years are open.	Mathematical Research Publishers	Serial								P
Annals of Functional Analysis		2008-8752	2010	1.0	1	2019-11-01	10.0	4	https://projecteuclid.org/journals/annals-of-functional-analysis		annals-of-functional-analysis		fulltext	Articles older than 5 years are open.	Tusi Mathematical Research Group	Serial								P
African Journal of Applied Statistics	2316-0861		2014	1.0	1				https://projecteuclid.org/journals/african-journal-of-applied-statistics		african-journal-of-applied-statistics		fulltext	Articles older than 5 years are open.	Statistics and Probability African Society	Serial								P
Advances in Operator Theory		2538-225X	2016	1.0	1	2019-09-01	4.0	4	https://projecteuclid.org/journals/advances-in-operator-theory		advances-in-operator-theory		fulltext	Articles older than 5 years are open.	Tusi Mathematical Research Group	Serial								P
Afrika Statistika	2316-090X		2005	1.0	1				https://projecteuclid.org/journals/afrika-statistika		afrika-statistika		fulltext	Articles older than 5 years are open.	Statistics and Probability African Society	Serial								P
Advanced Studies in Pure Mathematics	0920-1971	2433-8915	1983						https://projecteuclid.org/proceedings/advanced-studies-in-pure-mathematics		euclid.aspm/0920-1971		fulltext	Volumes older than 5 years are open.	Mathematical Society of Japan	Serial								P
Algebraic Varieties and Analytic Varieties	978-0-44486-612-7	978-4-86497-059-4							https://projecteuclid.org/proceedings/advanced-studies-in-pure-mathematics/algebraic-varieties-and-analytic-varieties/toc/10.2969/aspm/00110000		euclid.aspm/1524598004		fulltext		Mathematical Society of Japan	Monograph	1983	43214.0	1		Iitaka	euclid.aspm/0920-1971		F
Galois Groups and their Representations	978-0-44486-835-0	978-4-86497-060-0							https://projecteuclid.org/proceedings/advanced-studies-in-pure-mathematics/galois-groups-and-their-representations/toc/10.2969/aspm/00210000		euclid.aspm/1524605663		fulltext		Mathematical Society of Japan	Monograph	1983	43214.0	2		Ihara	euclid.aspm/0920-1971		F
Geometry of Geodesics and Related Topics	978-0-44487-545-7	978-4-86497-061-7							https://projecteuclid.org/proceedings/advanced-studies-in-pure-mathematics/geometry-of-geodesics-and-related-topics/toc/10.2969/aspm/00310000		euclid.aspm/1525309534		fulltext		Mathematical Society of Japan	Monograph	1984	43223.0	3		Shiohama	euclid.aspm/0920-1971		F
Group Representations and Systems of Differential Equations	0-444-87710-X	978-4-86497-062-4							https://projecteuclid.org/proceedings/advanced-studies-in-pure-mathematics/group-representations-and-systems-of-differential-equations/toc/10.2969/aspm/00410000		euclid.aspm/1525309607		fulltext		Mathematical Society of Japan	Monograph	1984	43223.0	4		Okamoto	euclid.aspm/0920-1971		F
Foliations	978-0-44487-939-4	978-4-86497-063-1							https://projecteuclid.org/proceedings/advanced-studies-in-pure-mathematics/foliations/toc/10.2969/aspm/00510000		euclid.aspm/1525309680		fulltext		Mathematical Society of Japan	Monograph	1985	43223.0	5		Tamura	euclid.aspm/0920-1971		F
Algebraic Groups and Related Topics	978-0-44487-711-6	978-4-86497-064-8							https://projecteuclid.org/proceedings/advanced-studies-in-pure-mathematics/algebraic-groups-and-related-topics/toc/10.2969/aspm/00610000		euclid.aspm/1525309852		fulltext		Mathematical Society of Japan	Monograph	1985	43223.0	6		Hotta	euclid.aspm/0920-1971		F
Automorphic Forms and Number Theory	978-0-44487-940-0	978-4-86497-065-5							https://projecteuclid.org/proceedings/advanced-studies-in-pure-mathematics/automorphic-forms-and-number-theory/toc/10.2969/aspm/00710000		euclid.aspm/1525309935		fulltext		Mathematical Society of Japan	Monograph	1985	43223.0	7		Satake	euclid.aspm/0920-1971		F
Complex Analytic Singularities	978-0-44470-200-5	978-4-86497-066-2							https://projecteuclid.org/proceedings/advanced-studies-in-pure-mathematics/complex-analytic-singularities/toc/10.2969/aspm/00810000		euclid.aspm/1525310057		fulltext		Mathematical Society of Japan	Monograph	1987	43251.0	8		Suwa	euclid.aspm/0920-1971		F
