publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id
100% Evil	978-1-56898-526-8	978-1-56898-629-6							http://link.springer.com/10.1007/1-56898-629-7	Blechman	10.1007/1-56898-629-7		fulltext		Princeton Archit.Press	Monograph	2005						
2-D PAGE Map Analysis	978-1-4939-3254-2	978-1-4939-3255-9							http://link.springer.com/10.1007/978-1-4939-3255-9		10.1007/978-1-4939-3255-9		fulltext		Springer New York	Monograph	2016		1384	1st ed. 2016	Marengo	7651	
2D PAGE: Sample Preparation and Fractionation	978-1-58829-722-8	978-1-60327-064-9							http://link.springer.com/10.1007/978-1-60327-064-9		10.1007/978-1-60327-064-9		fulltext		Humana Press	Monograph	2008		424		Posch	7651	
2D PAGE: Sample Preparation and Fractionation	978-1-60327-209-4	978-1-60327-210-0							http://link.springer.com/10.1007/978-1-60327-210-0		10.1007/978-1-60327-210-0		fulltext		Humana Press	Monograph	2008		425		Posch	7651	
3D Cell Culture	978-1-4939-7019-3	978-1-4939-7021-6							http://link.springer.com/10.1007/978-1-4939-7021-6		10.1007/978-1-4939-7021-6		fulltext		Springer New York	Monograph	2017		1612		Koledova	7651	
3D Cell Culture	978-1-60761-983-3	978-1-60761-984-0							http://link.springer.com/10.1007/978-1-60761-984-0		10.1007/978-1-60761-984-0		fulltext		Humana Press	Monograph	2011		695	1	Haycock	7651	
3D DNA Nanostructure	978-1-4939-6452-9	978-1-4939-6454-3							http://link.springer.com/10.1007/978-1-4939-6454-3		10.1007/978-1-4939-6454-3		fulltext		Springer New York	Monograph	2017		1500		Ke	7651	
A Primer on Environmental Decision-Making	978-1-4020-4073-3	978-1-4020-5067-4							http://link.springer.com/10.1007/978-1-4020-5067-4	Seip	10.1007/978-1-4020-5067-4		fulltext		Springer Netherlands	Monograph	2006						
A Woman’s Framework for a Successful Career and Life	978-1-137-29319-0	978-1-137-31422-2							http://link.springer.com/10.1057/9781137314222	Hamerstone	10.1057/9781137314222		fulltext		Palgrave Macmillan US	Monograph	2013						
ATM Kinase	978-1-4939-6953-1	978-1-4939-6955-5							http://link.springer.com/10.1007/978-1-4939-6955-5		10.1007/978-1-4939-6955-5		fulltext		Springer New York	Monograph	2017		1599		Kozlov	7651	
Accelerators and Colliders	978-3-642-23052-3	978-3-642-23053-0							http://link.springer.com/10.1007/978-3-642-23053-0		10.1007/978-3-642-23053-0		fulltext		Springer Berlin Heidelberg	Monograph	2013				Myers	284001	
Actinide Monochalcogenides	978-3-540-29177-0	978-3-540-47043-4							http://link.springer.com/10.1007/978-3-540-47043-4		10.1007/978-3-540-47043-4		fulltext		Springer Berlin Heidelberg	Monograph	2009		27B6b		Wijn	284003	
Activity-Based Proteomics	978-1-4939-6437-6	978-1-4939-6439-0							http://link.springer.com/10.1007/978-1-4939-6439-0		10.1007/978-1-4939-6439-0		fulltext		Springer New York	Monograph	2017		1491		Overkleeft	7651	
Acute Myeloid Leukemia	978-1-4939-7140-4	978-1-4939-7142-8							http://link.springer.com/10.1007/978-1-4939-7142-8		10.1007/978-1-4939-7142-8		fulltext		Springer New York	Monograph	2017		1633		Fortina	7651	
Adeno-Associated Virus	978-1-61779-369-1	978-1-61779-370-7							http://link.springer.com/10.1007/978-1-61779-370-7		10.1007/978-1-61779-370-7		fulltext		Humana Press	Monograph	2011		807		Snyder	7651	
