publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id
(Re:)Working the Ground	978-1-349-29099-4	978-0-230-11993-2							http://link.springer.com/10.1007/978-0-230-11993-2		10.1007/978-0-230-11993-2		fulltext		Palgrave Macmillan US	Monograph	2011				Maynard	14799	
(Syn)aesthetics	978-1-349-30678-7	978-0-230-23695-0							http://link.springer.com/10.1007/978-0-230-23695-0	Machon	10.1007/978-0-230-23695-0		fulltext		Palgrave Macmillan UK	Monograph	2009						
21st Century Dissent	978-1-349-52520-1	978-0-230-80084-7							http://link.springer.com/10.1007/978-0-230-80084-7	Curran	10.1007/978-0-230-80084-7		fulltext		Palgrave Macmillan UK	Monograph	2007					13996	
A Comparative Study of Minority Development in China and Canada	978-1-349-28658-4	978-0-230-10777-9							http://link.springer.com/10.1007/978-0-230-10777-9	Hasmath	10.1007/978-0-230-10777-9		fulltext		Palgrave Macmillan US	Monograph	2010						
A Cultural Approach to Discourse	978-0-230-57762-6	978-0-230-50539-1							http://link.springer.com/10.1007/978-0-230-50539-1	Shi-xu	10.1007/978-0-230-50539-1		fulltext		Palgrave Macmillan UK	Monograph	2005						
A Deleuzian Approach to Curriculum	978-1-349-28845-8	978-0-230-11528-6							http://link.springer.com/10.1007/978-0-230-11528-6	Wallin	10.1007/978-0-230-11528-6		fulltext		Palgrave Macmillan US	Monograph	2010					14964	
A Handbook of Leisure Studies	978-1-4039-0279-5	978-0-230-62518-1							http://link.springer.com/10.1007/978-0-230-62518-1		10.1007/978-0-230-62518-1		fulltext		Palgrave Macmillan UK	Monograph	2006				Rojek		
A Hero’s Many Faces	978-1-349-30796-8	978-0-230-23699-8							http://link.springer.com/10.1007/978-0-230-23699-8	Schult	10.1007/978-0-230-23699-8		fulltext		Palgrave Macmillan UK	Monograph	2009					14433	
A History of Accident and Emergency Medicine, 1948–2004	978-1-349-52420-4	978-0-230-00074-2							http://link.springer.com/10.1007/978-0-230-00074-2	Guly	10.1007/978-0-230-00074-2		fulltext		Palgrave Macmillan UK	Monograph	2005						
A History of Charisma	978-1-349-36242-4	978-0-230-24483-2							http://link.springer.com/10.1007/978-0-230-24483-2	Potts	10.1007/978-0-230-24483-2		fulltext		Palgrave Macmillan UK	Monograph	2009						
A History of Foreign Students in Britain	978-1-349-45169-2	978-1-137-29495-1							http://link.springer.com/10.1007/978-1-137-29495-1	Perraton	10.1007/978-1-137-29495-1		fulltext		Palgrave Macmillan UK	Monograph	2014						
A History of Male Psychological Disorders in Britain, 1945–1980	978-1-137-55626-4	978-1-137-44888-0							http://link.springer.com/10.1007/978-1-137-44888-0	Haggett	10.1007/978-1-137-44888-0		fulltext		Palgrave Macmillan UK	Monograph	2015					14806	
A Moderate Compromise	978-1-349-28967-7	978-0-230-11460-9							http://link.springer.com/10.1007/978-0-230-11460-9	Suranovic	10.1007/978-0-230-11460-9		fulltext		Palgrave Macmillan US	Monograph	2010						
A New Social Contract in a Latin American Education Context	978-1-349-28981-3	978-0-230-11529-3							http://link.springer.com/10.1007/978-0-230-11529-3	Streck	10.1007/978-0-230-11529-3		fulltext		Palgrave Macmillan US	Monograph	2010					14536	
A Philosophical Examination of Social Justice and Child Poverty	978-1-349-49067-7	978-1-137-42602-4							http://link.springer.com/10.1007/978-1-137-42602-4	Schweiger	10.1007/978-1-137-42602-4		fulltext		Palgrave Macmillan UK	Monograph	2015						
A Place-Based Perspective of Food in Society	978-1-349-55257-3	978-1-137-40837-2							http://link.springer.com/10.1007/978-1-137-40837-2		10.1007/978-1-137-40837-2		fulltext		Palgrave Macmillan US	Monograph	2015				Fitzpatrick		
A Poetics of Forgiveness	978-1-349-37911-8	978-0-230-10624-6							http://link.springer.com/10.1007/978-0-230-10624-6	Scott	10.1007/978-0-230-10624-6		fulltext		Palgrave Macmillan US	Monograph	2010						
A Prelude to the Foundation of Political Economy	978-1-349-29671-2	978-1-137-10697-1							http://link.springer.com/10.1007/978-1-137-10697-1	Bina	10.1007/978-1-137-10697-1		fulltext		Palgrave Macmillan US	Monograph	2013					14439	
A Responsible Europe?	978-1-349-54195-9	978-0-230-62561-7							http://link.springer.com/10.1007/978-0-230-62561-7		10.1007/978-0-230-62561-7		fulltext		Palgrave Macmillan UK	Monograph	2006				Mayer	14629	
A Samuel Beckett Chronology	978-1-349-52365-8	978-0-230-50483-7							http://link.springer.com/10.1007/978-0-230-50483-7	Pilling	10.1007/978-0-230-50483-7		fulltext		Palgrave Macmillan UK	Monograph	2006					13924	
A Short History of the Drug Receptor Concept	978-1-349-36377-3	978-0-230-58374-0							http://link.springer.com/10.1007/978-0-230-58374-0	Prüll	10.1007/978-0-230-58374-0		fulltext		Palgrave Macmillan UK	Monograph	2009					14306	
A Sociology of Immigration	978-1-349-30882-8	978-0-230-24087-2							http://link.springer.com/10.1007/978-0-230-24087-2	Morawska	10.1007/978-0-230-24087-2		fulltext		Palgrave Macmillan UK	Monograph	2009						
AIDS Policy in Uganda	978-1-349-28875-5	978-0-230-11211-7							http://link.springer.com/10.1007/978-0-230-11211-7	Kinsman	10.1007/978-0-230-11211-7		fulltext		Palgrave Macmillan US	Monograph	2010						
AIDS Treatment and Human Rights in Context	978-1-349-37617-9	978-0-230-62083-4							http://link.springer.com/10.1007/978-0-230-62083-4	Jones	10.1007/978-0-230-62083-4		fulltext		Palgrave Macmillan US	Monograph	2009						
AIDS in Latin America	978-1-349-53126-4	978-1-4039-7908-7							http://link.springer.com/10.1007/978-1-4039-7908-7	Frasca	10.1007/978-1-4039-7908-7		fulltext		Palgrave Macmillan US	Monograph	2005						
Academic Freedom in the Post-9/11 Era	978-0-230-11700-6	978-0-230-11729-7							http://link.springer.com/10.1007/978-0-230-11729-7		10.1007/978-0-230-11729-7		fulltext		Palgrave Macmillan US	Monograph	2010				Carvalho	14963	
Accepting the Invisible Hand	978-1-349-28683-6	978-0-230-11431-9							http://link.springer.com/10.1007/978-0-230-11431-9		10.1007/978-0-230-11431-9		fulltext		Palgrave Macmillan US	Monograph	2010				White	14556	
Action Learning	978-1-349-36625-5	978-0-230-25073-4							http://link.springer.com/10.1007/978-0-230-25073-4		10.1007/978-0-230-25073-4		fulltext		Palgrave Macmillan UK	Monograph	2010				Boshyk		
Action Learning and its Applications	978-1-349-36627-9	978-0-230-25074-1							http://link.springer.com/10.1007/978-0-230-25074-1		10.1007/978-0-230-25074-1		fulltext		Palgrave Macmillan UK	Monograph	2010				Dilworth		
Action Research Methods	978-1-349-29560-9	978-1-137-04663-5							http://link.springer.com/10.1007/978-1-137-04663-5		10.1007/978-1-137-04663-5		fulltext		Palgrave Macmillan US	Monograph	2012				Klein		
Active Labour Market Policies and Welfare Reform	978-1-349-54206-2	978-0-230-58223-1							http://link.springer.com/10.1007/978-0-230-58223-1	Daguerre	10.1007/978-0-230-58223-1		fulltext		Palgrave Macmillan UK	Monograph	2007						
Adam Smith	978-0-230-27700-7	978-0-230-22754-5							http://link.springer.com/10.1007/978-0-230-22754-5	Kennedy	10.1007/978-0-230-22754-5		fulltext		Palgrave Macmillan UK	Monograph	2008					15026	
Admiral Lord Nelson	978-1-349-51945-3	978-0-230-50870-5							http://link.springer.com/10.1007/978-0-230-50870-5		10.1007/978-0-230-50870-5		fulltext		Palgrave Macmillan UK	Monograph	2005				Cannadine		
