publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id
Bridging laboratory and field research for genetic control of disease vectors	978-1-4020-3800-6	978-1-4020-3799-3							http://link.springer.com/10.1007/1-4020-3799-6		10.1007/1-4020-3799-6		fulltext		Springer Netherlands	Monograph	2006				Knols		
Confronting scale in archaeology	978-0-387-28031-8	978-0-387-32772-3							http://link.springer.com/10.1007/0-387-32772-3		10.1007/0-387-32772-3		fulltext		Springer US	Monograph	2006				Lock		
Data Fitting and Uncertainty	978-3-8348-1022-9	978-3-8348-9813-5							http://link.springer.com/10.1007/978-3-8348-9813-5	Strutz	10.1007/978-3-8348-9813-5		fulltext		Vieweg+Teubner	Monograph	2011						
Daughters of the Anglican Clergy	978-1-349-34618-9	978-1-137-31574-8							http://link.springer.com/10.1057/9781137315748	Yamaguchi	10.1057/9781137315748		fulltext		Palgrave Macmillan UK	Monograph	2014					15000	
Glossarium kwaliteit van zorg	978-90-313-8730-4	978-90-313-8731-1							http://link.springer.com/10.1007/978-90-313-8731-1	Everdingen	10.1007/978-90-313-8731-1		fulltext		Bohn Stafleu van Loghum	Monograph	2011						
Mond- en kaakziekten	978-90-313-8609-3	978-90-313-8610-9							http://link.springer.com/10.1007/978-90-313-8610-9	Waal	10.1007/978-90-313-8610-9		fulltext		Bohn Stafleu van Loghum	Monograph	2011						
Plant Physiology	978-3-319-17908-7	978-3-319-17909-4							http://link.springer.com/10.1007/978-3-319-17909-4	Duca	10.1007/978-3-319-17909-4		fulltext		Springer International Publishing	Monograph	2015			2015		3740	
Praktijkboek persoonlijkheidsstoornissen	978-90-368-0569-8	978-90-368-0570-4							http://link.springer.com/10.1007/978-90-368-0570-4	Sprey	10.1007/978-90-368-0570-4		fulltext		Bohn Stafleu van Loghum	Monograph	2015			2nd ed. 2015			
Quantifying the Agri-Food supply Chain	978-1-4020-4692-6	978-1-4020-4693-3							http://link.springer.com/10.1007/1-4020-4693-6		10.1007/1-4020-4693-6		fulltext		Springer Netherlands	Monograph	2006		15		ONDERSTEIJN		
Schulabbrüche und Ausbildungslosigkeit	978-3-87966-414-6	978-3-531-90679-9							http://link.springer.com/10.1007/978-3-531-90679-9	Hofmann-Lun	10.1007/978-3-531-90679-9		fulltext		VS Verlag für Sozialwissenschaften	Monograph	2007						
Statistics Applied to Clinical Trials	978-1-4020-4229-4	978-1-4020-0570-1							http://link.springer.com/10.1007/1-4020-0570-9	Cleophas	10.1007/1-4020-0570-9		fulltext		Springer Netherlands	Monograph	2006						
Weltstaat und Weltstaatlichkeit	978-3-531-15312-4	978-3-531-90635-5							http://link.springer.com/10.1007/978-3-531-90635-5		10.1007/978-3-531-90635-5		fulltext		VS Verlag für Sozialwissenschaften	Monograph	2007				Albert		
