publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id
3 Biotech	2190-572X	2190-5738	2011-06	1	1	2016-12	6	2	http://link.springer.com/journal/13205		13205		fulltext		Springer Berlin Heidelberg	Serial							
3D Printing in Medicine		2365-6271	2015-11	1	1	2017-03	3	1	http://link.springer.com/journal/41205		41205		fulltext		Springer International Publishing	Serial							
3D Research		2092-6731	2010-03	1	1	2017-03	8	2	http://link.springer.com/journal/13319		13319		fulltext		3D Display Research Center	Serial							
4OR	1619-4500	1614-2411	2003-03	1	1	2017-03	15	1	http://link.springer.com/journal/10288		10288		fulltext		Springer Berlin Heidelberg	Serial							
AAPS Open		2364-9534	2015-11	1	1	2017-01	3	1	http://link.springer.com/journal/41120		41120		fulltext		Springer International Publishing	Serial							
AAPS PharmSciTech		1530-9932	2000-03	1	1	2017-03	18	2	http://link.springer.com/journal/12249		12249		fulltext		Springer US	Serial							
ADHD Attention Deficit and Hyperactivity Disorders	1866-6116	1866-6647	2009-05	1	1	2017-03	9	1	http://link.springer.com/journal/12402		12402		fulltext		Springer Vienna	Serial							
ADHESION ADHESIVES&SEALANTS	2192-2624	2195-6545	2009-02	6	1	2017-03	14	1	http://link.springer.com/journal/35784		35784		fulltext		Springer Fachmedien Wiesbaden	Serial							
AI & SOCIETY	0951-5666	1435-5655	1987-07	1	1	2017-03	32	1	http://link.springer.com/journal/146		146		fulltext		Springer London	Serial							
AIDS Research and Therapy		1742-6405	2004-12	1	1	2017-03	14	1	http://link.springer.com/journal/12981		12981		fulltext		BioMed Central	Serial							
AIDS and Behavior	1090-7165	1573-3254	1997-03	1	1	2017-04	21	4	http://link.springer.com/journal/10461		10461		fulltext		Springer US	Serial							
